stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.45,397.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.81,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,113.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,21.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.83,0,5.89,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.94,0,0,0,189.65,0,0,4.19,50.99,0,5.96,0,0,0,0,0,0
 14-21,0,0,0,1.01,8.8,6.22,0,1.6,0,0,0,0,1.08,0,0,1.03,0,0,0,0,18.85,0,22.32,121.48,0,0,3.69,0,0,0,69.13,0,11.79,103.36,53.26,0,0,0,0,0
 24-34,0,0,0,2.14,15.59,0.88,0,9.86,0,0,1.39,2.59,0,2.4,0,0,0,15.44,0.67,0,81.26,0,18.58,286.73,8.92,2.38,10.45,0,2.91,0,0,0.6,0,28.1,107.29,0,0,5.15,0,0
 36-46,0,0,1.47,0,5.86,0,0,3.15,0.64,2.51,0,16.28,0,5.16,0,0,0,11.59,1.62,0,74.95,0,12.26,496.9,3.16,3.78,13.1,0,0,0,0,0,0,0,129.48,0,0,2.25,0,0
 48-58,0,0,0,0,6.58,0,0,81.2,3.16,0,2.74,45.82,0.58,1.17,0,0,0.51,10.85,2.47,0.57,110.97,5.48,12.61,911.15,0.39,0,20.88,0,0,0,0,1.11,0,0,115.98,0,0,7.83,0,2.73
 60-70,0,0,0,0,16.76,0,0,191.84,2.16,0.61,6.07,88.97,0,0,0,0,0,5.08,1.45,2.19,131.78,4.02,10.32,1117.84,0,0,8.24,0,1.66,4.49,0,0,2.94,0,131.38,0,4.35,1.29,0,9.12
 72-82,0,0,0.69,0,9.96,0,0,251.33,1.29,0.79,16.92,149.24,1.08,0.86,0,0.63,2.22,22.95,0.64,0,210.74,6.74,26.9,1128.13,0.53,1.3,40.05,0,2.36,0,0,3.09,4.16,0,97.5,1.36,5.91,7.76,5.33,0
 84-94,0,0,0,0,25.64,0.84,0,211.67,0,0.56,13.01,98.39,4.26,7.13,1.88,0,5.96,19.33,0,2.72,202.71,15.6,16.41,648.42,1.11,2.41,35.97,0,0,3.01,0,3.72,1.43,0,49.15,0,4.59,9.62,0,9.88
 96-106,0,0,1.11,0.66,19.85,3.85,0.8,152.72,1.43,1.96,1.72,135.86,1.01,5.56,3.92,0.72,9.93,24.51,21.68,0,142.41,21.3,17.09,683.47,0,1.4,27.1,0,3.94,22.91,0,0.7,0,0,20.51,0,5.15,5.58,6.2,0
108-118,0,0,0,0,21.79,4.14,0.52,196.55,2.92,0,5.48,147.43,0,6.19,0,1.53,17.65,18.53,2.71,0.75,202.68,6.95,23.97,760.12,0.44,0,24.49,0,7.44,2.39,0,0.59,0.43,0,16.01,0,4.11,23.64,1.05,4.31
120,0,0,1.37,0,19.71,20.12,0,231.6,2.29,1.37,8.7,268.05,4.06,0,0,0,24.82,12.71,0,0,193.57,39.32,25.28,1053.73,1.25,0,22.51,0,15.35,0,0,4.71,1.21,0,13.34,0,29.29,21.45,0,0
