stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,6.17,0,0,0,0
  7-9,0,4.95,0,0,3.21,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.92,0,0,0,0,4.69,0,24.14,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,9.08,0,0,0,0,0,0,0,0,1.25,0,225.17,0,0,0,0,3.25,7.28,0,0
 36-46,0,0,0,0,16.04,0,4.95,0,1.45,0,29.19,0,0,0,0,222.96,4.08,0,0,0,0,9.59,0,0
 48-58,0,0,0.5,0,16.78,0,7.79,0,0,0,0,0,0,1.45,0,171.96,0,0.91,2.78,0,0,7.94,0.44,0
 60-70,0,0,2.89,0,31.71,0,11.68,0,0,0.92,0,0,0,0,0,77.09,0,0,0,0,0,0.88,0.59,0
 72-82,0,0,0.5,0,203.93,0,8.1,0,0,0,0,0.86,0,7.29,0,49.51,0,0,0,0,0,2.94,0,0.94
 84-94,0,0,0,0,338.11,0,5.46,0,0,0,0,0,0,1.51,0,52.58,0,4.64,0,0,0,6.72,0,0
 96-106,0,0,3.62,0,349.5,0.59,6.71,2.56,0,4.13,0,0,6.49,1.24,0,31.17,0,0.95,0,0,0,0,1.93,0
108-118,0,0,0.87,0,375.9,0.65,2.84,0,0,0.54,0,0,4.26,5.4,0,70.84,0,0,0,0,2.13,0,0,0
120,0,0,0,3.03,605.25,0,30.71,0,0,1.18,0,0,0,12.95,1.27,84.11,0,0,4.39,0,0,0,0,0
