stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,58.17,1504.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.76,0,0,0,0,0,0,0,0
  5-6,65.34,849.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.53,0,0,0,18.33,0,46.1,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.69,0,0,0,19.54,0,21.46,10.61,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.94,0,0,0,7.09,0,14.39,0,0,48.94,0,0,0,0,0
 14-21,0,0,0,4.04,7.79,0,0.91,0,3.74,0,1.41,0,1,0,5.66,8.49,0,0,0,0,5.46,0,0,1.06,38.27,0,0,10.84,5.36,0,83.07,0,3.07,127.84,4.91,1.9,0,0,0
 24-34,0,0,0,4.49,0,0,6.4,0,2.88,10.09,3.7,0,0,0,8.36,10.1,0,1.67,0,0,5.89,0.71,0,2.07,25.33,0.75,12.8,1.69,0,0,91.62,0,0,48.28,3.27,3,0,8.87,1.99
 36-46,0,0,0,11.72,0,0,0.68,0,0,9.85,0,0,0,0,36.71,2.18,0,0.72,0,6.32,8.51,0,0,0,21.49,0,4.81,0.63,0,0,35.8,0,0,16.85,0.69,1.6,0,1.99,0
 48-58,0,0,0,6.64,0,0,4.18,0.93,0,29.3,1.24,0,0,0,26.99,1,0,1.31,0,2.61,1.67,0,0,3.28,17.45,0,0.38,0,0,0,67.34,0,0,10.73,0,0.93,0,0,4.06
 60-70,0,0,2.22,8.67,0.8,0,2.28,0,3.18,15.04,0,1.84,0,2.87,11.97,0.92,0,0,0,2.79,3.12,0,0,1.37,10.9,0,1.8,0,0,0,45.82,0,0,4.66,0,1.24,0,7.82,0
 72-82,0,0,0,4.92,7.35,0,22.63,0,0.68,37.14,3.61,1.61,0,0,28.47,3.48,0,1.66,1.65,0,15.85,0,0.67,0.52,43.95,0,4.69,1.05,0,0.77,23.57,0,0,22.1,0,0.93,0.53,2.44,4.17
 84-94,0,0,1.15,4.17,0,0,4.25,0,10.93,26.95,3.33,1.59,0,1.52,40.45,1.33,4.41,1.2,2.8,1.11,10.52,3.26,0,3.25,14.42,0,0.71,4.66,0,0,118.32,0,0,48.71,0,0,0.97,3.76,0.55
 96-106,0,0,1.06,9.08,11.91,0,8.84,0,0,26.74,4.53,4.44,0,0,46.74,5.84,1.04,0.92,1.06,0.77,30.64,2.86,0,0.57,31.42,0.61,8.64,1.88,0,0,69.76,0,0,28.41,0,2.82,3.22,7.74,19.11
108-118,0,0,0,20.35,0.6,0.77,10.5,0.48,1.46,12.93,15.48,2.64,0,0,57.46,8.18,0.43,1.09,3.01,0.61,15.38,0.52,1.35,4.19,36.06,0,1.76,3.96,0,0,70.1,0,0,37.72,0,2.75,4.25,1.53,0.46
120,0,0,0,27.2,5.78,0,4.38,0,0,24.89,5.25,10.64,0,0,81.88,1.63,1.62,1.74,4.15,0,19.21,0,2.03,7.88,27.17,0,0,0,0,0,68,0,0,27.95,0,45.65,5.08,9.62,0
