stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,70.91,849.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.79,0,0,0,0,0
  5-6,54.92,857.87,0,0,0,0,0,0,0,0,0,0,0,89.64,0,0,0,10.04,6.27,0,0,0,0,0
  7-9,17.72,28.96,3.75,0,0,7.45,0,0,9.11,0,0,0,0,233.81,22.85,0,0,59.67,0,0,0,0,0,0
 10-12,0,19.53,7.74,0,0,34.45,0,0,6.61,0,0,0,0,212.61,0,0,0,69.62,0,0,22.09,0,0,0
 14-21,0,0,0,3.13,0,1.35,0,0.84,0,0,0,0.99,0.85,29.25,0,0,0,0.89,1.56,2.86,0,1,2.02,0
 24-34,0,0,0,1.43,0.84,1.43,0,0,0,0.67,0,2.03,3.6,26.42,0,1.61,0,0,2.47,0,0,0,9.16,0
 36-46,0,0,0,0,0,1.98,0,0.68,0,0,0,2.14,0,12.38,0.62,0,1.66,0,0.83,0,0,0,6.74,0
 48-58,0,0,0,0,0,4.97,0,0.85,0,0,0,2.8,0.4,9.03,0,0,0.43,0,0,0,0,0,3.43,0.48
 60-70,0,0,0,1.03,0,0.97,0,3.7,0,0,0,1.54,0,0.74,0,0,0,0,0,0,0,0,1.19,0
 72-82,0,0,0,0,0,0,0,0.82,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,3.92,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.81,0,5.33,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.53,0,0,0,0,3.68,0,1.16,0,0,0,0,2.07,0,0,0,1.03,0
120,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0
