stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.3,0,0,0,0,22.64,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.77,0,0.78,0,0,0,0,0,0,0,0,2.45,0,0,0.75,0,0,0,0,1.57,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,4.44,2.78,0,0,0,0,0,0,0,2.33
 48-58,0,2.41,0,6.95,0,0,0.47,0,0,0,0,0,5.91,0.46,0,11.23,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,32.17,0,0,1.02,0,0,0,5.4,0,19.52,2.4,0,33.26,0.65,0,0,0,0,0,0,0,0
 72-82,0,0,0,57.34,0,0,2.11,1.52,0,0,0,0,31.36,3.53,4.39,33.95,1.19,0,0.99,0,0,0,0,0,0
 84-94,0,6.22,2.89,45.84,0,0,5.78,1.62,0,0,0,0,13.82,4.78,0,27.22,2.42,0,0.76,0,0,0,0,0,0
 96-106,0,5.43,0,82.55,2.05,0,7.62,8.71,0,0.95,0,0,8.38,0,0,43.35,1.38,0,1.89,5.77,0,0.83,0,0,0
108-118,0,0,0,64.54,0,0,3.92,8.49,0,0,0,0,26.27,0,0,21.65,3.7,2.1,0,0,0,0,0.99,0.49,0
120,0,0,0,88.89,0,5.31,5.01,3.28,0,0,0,0,18.44,0,0,50.08,2.63,0,0,0,0,0,0,0,0
