stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.01,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,9.17,0,0,0,7.6,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.28,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,2.05,0,0,0,20.39,0,2.1,33.12,0,0,0,0.85,3.03,0,4.26,0,0,2.87,0,0
 24-34,0,0,0,0,0.69,0.95,0,3.58,0,0,0,0,0,0,0,6.23,3.65,0,0,6.51,0,0,244.5,0,5.45,0.89,0,0.63,0.72,34.85,0,0,16.89,0,0
 36-46,0,0,0,0,2.69,0,0,64.21,0,0,0,1.69,0,0,0,3.45,0,0,0,2.92,0,0.9,1575.34,2.73,11.47,1.09,0,0,0,196.24,0,0,7.2,0,0
 48-58,0,0,0,0,9.67,0,0,164.78,3.88,4.63,0,7.95,0,0,0,8.05,0,2.34,0.44,11.04,0,0.77,1885.37,0.66,8.08,0,0,0,0,392.79,0,0,5.88,0,0.91
 60-70,0,0,0,0,2.53,0,0,158.91,0,0,0,13,2.57,0,0,12.34,0,0,0,19.08,0,0,1370.55,0,9.68,0,0,1.01,0,283,0,0,11.33,0,2.86
 72-82,0,0,0,0,7.89,0,0,114.87,0,0,0.75,15.82,0.71,0,0,20.6,1.93,0,0,24.76,0,1.39,743.1,0,2.23,0,0,1.2,0,204.93,0,2.52,25.89,0.54,0
 84-94,0,0,2.33,0,5.98,0,0,116.2,0,0,0,11.48,1.33,0,0,36.66,0,0,0.65,10.88,0.72,1.16,499.57,0,3.64,0,0,3.13,0,152.04,0,0,20.75,0,0
 96-106,0,0,0,0,0.6,7.94,0,130.92,0.81,0,0,9.6,1.16,0,0.91,24.05,4.05,0,0,24.18,0,1.81,417.43,0,17.11,0,0,9.17,0,56.78,0,0,3.86,0,0
108-118,0,0,0,0.74,6.75,0.77,0.72,117.78,0,0.52,0,10.15,3.4,0,0,37.1,0.42,0,0,10.03,0.69,0,509.29,0,12.97,0,0,2.23,0,41.19,0.89,1.17,24.58,0,0
120,0,0,0,0,0,0,14.33,201.31,0,1.21,0,51.24,5.49,0,0,24.76,3.26,0,0,23.19,0,0,630.96,3.33,4.09,0,0,1.13,0,57.84,0,0,31.52,0,0
