stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,42.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0
 24-34,0,0,0.71,0,0,8.73,0,0,0,1.15,0,0,0.72,0,0,4.42,0,0,0.59,0,0,0,0
 36-46,0,0,0,0,0,30.15,0,0,0,11.53,0,0,0,1.42,0,3.81,0,0,0,0,0,0.82,0
 48-58,0,0,0,0,0,30.17,0,6.44,0,7.03,0,0,0.48,1.43,0,10.73,0.59,0,0,0,0,0,0
 60-70,0,0,0,0,0,69.62,0,298.74,0,3.76,0,0,1.71,0,0,2.83,10.86,0,0,0,0,0,0
 72-82,0,0,1.12,0,0.67,96.42,1.88,725.95,0,2.46,0,0,1.91,6.51,0.85,23.74,2.9,0,0,2.26,0,0.82,0
 84-94,0,0,0,19.15,0,71.15,0,820.33,0,2.56,0,0,0.96,0.56,0,2.65,0,0,0,0,1.64,0,0.7
 96-106,0,0,0,2.92,0,140.92,0,1326.2,0.86,0,0.73,0,5.64,0,0.81,41.51,0.83,2.2,0,0.84,0,0,0
108-118,0,0,0,0.98,0.7,52.55,0,1020.81,0,0,0,5.21,2.8,0,1.22,55.24,0,0,0,0,1,0,0
120,0,0,0,5.35,0,61.28,0,923.2,0,0,0,0,0,2.03,0,35.07,0,0,0,0,0,0,0
