stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,taste,vasculature,visceral.smooth.muscle
  3-4,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.05,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,23.67,0,0,3.45,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,11.66,0,0,0,0,0,0,0
 14-21,0,0,0,2.32,0,0,0,0,0,0,0,0,0,1.97,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.74,1.67,0,0.78,0,6.84,0,0,0,0,0,1.98,0
 60-70,0,0,0,0,2.67,3.29,0,0,0,22.22,0,0,0,0,7.71,0,0
 72-82,0,0,0.56,0,3.95,1.11,0,0,0,4.31,0,0,0,0,40.59,1.02,0
 84-94,0,1.01,0.64,0,3.69,1.5,1.06,0,1,9.41,0,0,0,0,168.81,0,0
 96-106,0,0,0.84,0,9.87,2.11,0.8,0,1.56,6.28,0.57,0.57,0,0,231.72,0,0
108-118,0,0,8.22,0,6.72,0,0,0,1.81,6.34,0,0,0,0,191.39,0,0
120,0,0,10.8,0,8.57,0,0,0,0,9.34,0,0,0,1.01,113.14,0,7.48
