stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,0,0
 14-21,0.98,13.47,1.65,0,0,3.16,0,0,0,0,0,0,0,2.09,7.86,11.88,0,1.2,1,0,1.81,0.87,0.84,12.41,0
 24-34,0,0,0,1.67,0,0,0.66,0,0,1.02,6.46,0,0,3.97,20.27,0,1.57,0,0,4.55,0,0,1.85,3.48,0.62
 36-46,0,0.65,0,0.64,0,0,0,0,0.88,0,0,0,0,0,8.42,0,0,0,0,1.13,0,0,0,0,0
 48-58,0,0.38,0,6.2,0,0,0,0.57,0,0,2.91,0,0,0,9.74,0,0,0,0,2.73,0,0,0,0.75,0
 60-70,0,0,2.26,3.18,0,1.7,0,0,0,0,4.24,0,0.76,0,9.39,0,1.1,0,0,0.83,0,0,0,1.18,0
 72-82,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,3.73,0,0.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.69,2.67,0,0,0,0,1.72,0,0,0.6,9.18,0,0,0,0,2.23,0,0,0,0,0
 96-106,0,0,0,0,0,6.42,0,0,0,0,0,1.56,0,0,3.81,0,0.84,0,0,1.74,0,0,0,0,0.98
108-118,0,0.97,0,2.14,0,0,0,0,0,0,0.42,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,14.22,0,0,0,0,0,0,0,0,0,0
