stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,olfactory,presomitic.mesoderm,spinal.cord
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11.81,0,1.04,9.11
 24-34,0,0,0,0,1.53,0,1.13,0,0,0.76,111.46,2.33,0,37.19
 36-46,0,0,0,0,4.04,0,1.4,0,1.45,0,281.99,2.43,0,81.79
 48-58,0,0,0,1.99,10.52,0,2.97,0,3.79,0,236.77,1.47,0,56.86
 60-70,0,0,0,0,17.46,0,1.46,0,7.82,0,221.05,0,0,33
 72-82,0,0,0,0,19.95,0,5.74,0,2.11,0,120.56,0,0,15.17
 84-94,0,0,0,0,25.25,0,0,0.7,2.52,0.6,71.58,0,0,27.01
 96-106,0,0.61,0,0,8.5,0,2.01,0,0,0,50.85,0,0,3.11
108-118,0,0,0,0,9.92,0.86,0.47,0,4.18,0,54.84,0,0,3.62
120,0,0,0,0,20.05,0,5.45,0,0,0,102.19,0,0,4.81
