stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.98,29.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.96,0,0,0,0,0,0,0,18.55,8.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.68,0,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.09,0.89,0,0.96,0,0,0,1.75,0,0,0.83,9.07,0,1.55,0,0.84,0,0.99,1.72,5.82,0,0
 24-34,0,0,0,0,0,0.85,1.18,0,0,7.36,0,0.84,0,8,0,0,0,0,0,0,0,1.48,0,0
 36-46,0,0,0,0,0,1.64,0,0,0,31.86,0,0.77,0.65,33.77,0,1.23,0,0,0,0,0,4.14,0.57,0
 48-58,0,0,0,0,0,0,0,0,0,40.6,0,0,0,17.53,0,0.78,0,0,0,0,0,1.58,0,0
 60-70,0,0,0,0,0,9.98,0,0.88,1.25,29.79,0,4.63,0.98,23.17,0,0,0,0,0,0,0,1.62,0,0
 72-82,0,0,0,0,0,0,0,0.49,0.98,30.58,0,0,0,3.02,0,0,0,0,0,0,0,0,3.32,1.07
 84-94,0,0,0,3.76,0,0,0,0,0,79.76,0.76,0,0,3.68,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,10.7,0,0,0,58.29,0,0,0,10.99,0,0,0.75,0,2.06,0,0,0,0.59,0
108-118,0,0,0,0,0.72,6.7,0,0,3.76,61.95,0,1.94,0,6.93,0,0,0,0,0,0,0,0,2.07,0
120,0,0,0,0,0,1.29,0,0,0,98.04,0,0,0,27.92,0,0,0,0,0,0,0,0,3.36,0
