stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,244.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.61,0,0,0,0,0,0,0
  5-6,61.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,44.78,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.7,0,3.95,0,0,2.12,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,28.69,0,4.06,0,0,1.57,0.82,41.31,0,0,0,0,0
 24-34,0,0.66,0,0,0.62,0,10.6,0,0.64,0,8.61,0,2.59,0,0.98,3.31,0,0,0,1.6,0.82,2.72,0,0.63,164.01,0,5.37,9.32,0,0.82,2.21,92.8,0,0,0,0,0
 36-46,0,0,0,0,1.1,0,35.87,0,0,0,1.9,0,0,0,2.46,6.3,0,0,0,0,0.76,0.95,0,0.63,304.46,0,6.74,2.26,0,0,0,84.4,0,0,0,0,9.17
 48-58,0,0,0,8.08,0,0,118.06,0,0.44,0,15.14,0,0.57,0,0,0.37,2.34,0.81,0,8.61,11.1,4.17,0,0.44,427,0,10.55,3.71,0,1.25,2.74,68.16,0,0,1.56,0,5.54
 60-70,0,0,0,5.22,0,0,458.71,0,0,9.06,27.33,0.61,0,0,5.83,0.59,0,3.66,1.05,5.46,5.92,2.04,0,0.58,562.23,0,11.51,26.09,0,2.99,0,78.68,0,0.84,0,0,0
 72-82,0,4.53,0.56,10.23,0,0,608.39,0,3.1,0,31.65,3.7,0.59,1.74,1.9,0.66,0.65,11.5,0.78,4.01,12.73,0,0,0.59,580.31,0,5.51,27.46,0,12.39,0,53.75,0.53,0,2.88,0.6,0.78
 84-94,0,0,0,4.63,4.05,0,461.91,0,0,0.59,30.34,2.24,0,0,8.02,0,0,4.8,1.39,5.31,10.86,1.69,0,0,437.06,0,1.75,35.58,0,11.76,0.7,41.77,2,0.63,3.74,0,0
 96-106,0,4.19,0,5.16,10.47,0,454.33,0.71,0.63,0,28.04,0,0,0.95,2.44,0.98,0,26.33,9.42,0,16.81,4.98,1.49,1.67,382.54,1.17,7.48,34.15,0.81,9.8,0.58,27.04,4.64,0,4.93,1.71,0.8
108-118,0,2.49,0,7.17,0,0.46,554.46,0,0,0.5,58.96,1.17,0,0,8.02,3.26,0,14.25,0,3.65,16.14,0,0,0,579.66,0,8.19,48.77,0,11.14,1.04,28.99,0,0,0.59,0.57,0
120,0,2.94,0,4.57,11.84,0,552.37,0,0,0,29.56,14.52,0,0,12.97,2.26,0,28.91,3.76,0,25.55,0,0,0,892.26,0,7.29,63.73,0,2.32,0,20.02,0,0,0,0,0
