stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.22,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0,4.58,0,0,0
 24-34,0,0.84,2.57,0.84,0,8.21,0,0,0,4.14,0,0,0,0,0,0,0,0,0,438.36,0,1.36,0,0,0,0.84,39.93,0,0.91,0
 36-46,0,2.3,0,0,0,5.99,0,0,0.56,2,0,1.22,0,0,0,1.41,0,0,0.79,1045.15,0,1.14,0,0,5.98,0,63.94,0,0.98,0
 48-58,0,1.07,2.39,1.43,0,27.96,0,0,0.47,3.28,0,1.22,0,0,0,2.89,1.76,0,0,633.32,4.88,0,0,0,0,0,12.29,0,0.81,4.4
 60-70,0,0.82,0,1.69,0,37.06,0,0,0,7.67,6.55,0,0,0,0,2.15,0,0,0,578.39,0,0,0,0,0,0,4.11,0,1.51,0
 72-82,0,15.19,1.69,1.3,0,102.51,0,0,4.19,9.49,9.14,0,0,2.08,0,5.38,0,0,0,493.31,0,0.88,0,0,0,0,9.05,0,0,0
 84-94,0,2.36,0,0,0,86.71,0,0,0,15.07,14.04,0.87,0,0,0,4.29,0,0,0,385.89,0,1.46,0,0,0,0,10.33,8.08,0,6.4
 96-106,0,4.31,5.81,5.1,0.98,220.66,0.69,0,0,4.08,9.07,0.68,1.78,0,11.46,1.02,0.67,0,0,352.44,0,0,0.65,0,1.09,0,19.48,3.28,0,0
108-118,0,8.08,2.89,10.4,5.58,474.27,0,0,0.56,15.5,14.9,0,1.72,2.39,0,21.67,0,0,0,455.71,0,0,0.78,1.19,0,0,8.54,8.57,0,5.47
120,0,12.13,5.74,0,2.02,327.54,0,1.55,20.33,10.78,9.99,4.22,0,0,0,0,0,12.61,0,629.02,0,0,0,0,0,0,34.09,0,0,0
