stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,26.56,0,19.32,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,15.9,0,0,0,0,0
 14-21,0,2.02,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1.06,0,0,0.87,0
 36-46,0,0,0,0,1.25,0,0,0,0,0,0,0,3.52,0.75,0,0,0,0,0,0
 48-58,0,0,0,0,0.96,0,0,0,0,0,0.83,0,1.76,0,0,0,0,1.09,0.5,0
 60-70,0,0,0,0,0,1.48,0,0.57,0,3.58,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.85,0,0,0.89,0,0,0,0,6.8,0,3.47,2.82,0,0,0,0,0,0,0
 84-94,0,0,1.52,0,0,0.6,0,0,0,11.34,0,0,0.59,0,0,0,0,0,0,0
 96-106,0,8.91,0,0,5.23,1.21,0,1.07,0,110.82,0,5.52,9.88,0,0,1.78,0,1.5,0,2.56
108-118,0,1.19,0,0.82,9.29,3.42,0.43,0,0.77,222.7,0,3.92,19.03,0.96,0,0,0.53,0,0,0
120,0,0,0,0,2.46,0,0,1,0,80.96,0,0,8.36,0,0,2.12,1.26,0,9.25,0
