stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,25.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82,0,0,0,9.39,0,0,9.82,0,0,0,0,0,0,0
 10-12,0,14.18,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,16.61,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,24.9,0,0.89,0,0,0,0,0,0,0,15.04,0,0,0,1.65,1.79,3.75,12.8,0,0,0.94,0,0.86,0.82,0.89,1.16,3.17,1.14,0,0,1.08,0
 24-34,0,0,0,4.48,2.73,0,4.21,0,1.78,1.02,0,0,0,0,10.62,0,0,1.4,0.66,0,2.41,16.71,0,4.61,0,0,11.48,0,0,0,2.95,6.31,0,0,1.63,0
 36-46,0,0,0,0,0,0,1.5,0,0,0,2.37,0,0,0,15.75,0,0,0,3.28,0,0,44.95,0,0,0,0,32.86,0,0,4.05,0,21.51,0,0,1.21,0.92
 48-58,0,0,0,0,0,0,14.49,1.36,0,0,1.47,0,0,0,27.77,0,0,0,3.9,0,0,81.6,0,0,0,0,8.56,0,0,1.19,0,35.62,0,0,4.2,3.15
 60-70,0,0,0.62,1.05,7.16,0,42.28,0.83,0,0,18.02,0,0,0,12.34,2.82,0,0,24.42,1.54,0,208.4,0.66,0,0,0,13.37,0,0,1.34,0,67.83,0,0,0,37.92
 72-82,0,0,0,0,86.04,0,86.44,1.84,0,0.62,66.71,0.63,0,1.8,38.19,5.16,0.68,0,13.54,5.04,0,199.82,0,0,3.02,0,11.59,0,0,0,0,77.14,0.87,0,0,26.05
 84-94,0,0,0,0.59,86.2,0,46.69,0,0,0,61.7,0,0,0,36.11,1.69,0.66,0,8.59,6.76,0.65,70.89,0,0,2.37,0,41.57,0,0.81,0,0,41.9,0,0,0,19.62
 96-106,0,0,0,0,136.3,0,48.57,0.8,0.57,2.3,65.97,0,0,2.59,43.71,4.41,0,8.43,1.95,2.88,0,78.65,0,0,1.72,0,12.39,0,1.36,0.82,0,15.97,1.13,1.22,0.78,23.68
108-118,0,0,0,3.31,93.25,0.55,61.96,0.56,0,3.44,64.21,0.5,0,0,43.17,8.16,0,0,13.03,17.24,2.68,172.45,0,0,3.22,0,18.76,0,0,0,0,14.42,0,0,2,22.66
120,0,0,0,1.24,175.67,0,152.36,2.22,0,12.54,241.86,10.56,0,0,46.44,6.91,0,15.38,1.64,29.94,2.14,575,3.25,1.48,18.23,0,15.32,0,3.58,0,0,9.55,0,0,1.56,22.12
