stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.67,178.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.52,205.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.87,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.37,0,0,0,0,12.71,0,0,0,0,0,0,0,22.05,4.69,0,0,28.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,9.8,0.92,0,0,0,14.92,0,0,0,0,0,0,0,0,0,15.84,0,0,0,4.87,0,0,0,2.26,0,0,12.11,0,0,0,0,0.97
 24-34,0,0,0,7.83,0,0.76,1.99,0,17.57,0,0,0,0,0,4.35,1.48,0,0,16.21,0.67,3.11,0,0,0,8.54,0,0,0,0,1.96,0,0,0,0,0.63
 36-46,0,0,0,11.06,0,9.25,0,0,6,0,0,0,0,1.17,1.55,3.97,0,0,148.73,1.23,0,1.68,0,0,9.73,0.74,0,0,1.38,3.73,0,0,0.75,0,0
 48-58,0,0,0,13.4,0,16.67,0,0,8.66,0,0,0,0,0,4.36,6.67,0.51,4.91,321.28,1.28,0,3.08,0,0,1.46,0,0,0,0,17.75,0,0,0.41,0,3.64
 60-70,0,0,0,11.85,0,46.74,5.34,0,38.1,0,0,0,0,0,0,23.74,0,1.65,920.25,0,0.62,1.82,0,0,11.19,1.07,0,0,0,15.64,0.61,0.9,0,0,0
 72-82,0,0,0,23.78,0,67.73,0.63,1,41.95,0,0,6.58,0,0,0,33.9,0,0.62,1394.44,0,0.54,4,0,0,6.52,0,0,0,0,17.17,0,0.85,2.93,1.07,0
 84-94,0,0,1.04,21.05,7.16,101.26,0.68,0,27.52,0.61,0,0.61,6.76,0,0,78.46,8.92,7.49,814.4,2.16,0,2.58,0,0,3.56,0,0,0,0,12.09,0.66,0.75,0,0,2.26
 96-106,0,0,0,23.25,1.15,59.48,1.32,0,40.47,0,0,0.79,0.6,0.84,0.62,50.13,0.7,1.14,883.51,4.19,0,2.11,0,0,11.09,0.7,0,0,0,2.84,0,1.94,0,1.51,9.55
108-118,0,0,0,29.16,5.15,57.04,3.6,0,27.62,1.16,0,0.72,0.49,0,0,44.98,0,2.54,1294.84,3.65,0,13.94,0,1.23,8.29,0,0,0.6,0,12.23,0,0,5.03,0,0.65
120,2.37,0,0,13.09,0,221.76,0,0,33.42,3.28,0,4.1,14.02,0,0,22.12,0,3.67,1460.12,8.74,0,19.74,0,0,5.31,0,0,0,0,0,0,0,0,1.8,1.64
