stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,40.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.22,0,0,0,0,0,0,0
  5-6,73.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.99,0,0,0,9.05,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,0,0,0,7.09,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,18.05,0,0,0,0,0,0,0,0,0,0,5.49,1.42,12.49,0,2.54,4.65,96.76,0,82.25,0,0,0,0
 24-34,0,0,0,0,1.8,0,0,29.07,0,0,0,1.59,0,0,0.81,0,0,0,25.11,0,35.22,8.48,0,9.87,96.53,2.61,57.27,0,0,0.64,0
 36-46,0,0,0,1.71,0.72,0,0,25.44,0,0,0,0,0,0,0,0,0,0,17.21,0,26.59,0,0,2.86,33.21,0,56.7,0,0,0,0
 48-58,0,0.42,0,0,20.36,0,0,28.69,0,0,0,4.73,0,0.39,2.11,0,0,0.72,18.23,0,46.41,17.81,0,0,17,0,40.39,0,0,0,0
 60-70,0,0,0,0,2.03,0,0,21.96,0,0,0,6.98,0,0,0,1.53,0,0,31.48,0,42.93,15.7,0,0,1.12,0,36.07,0,0,0,0
 72-82,0,0.87,0,0,19.95,4.54,0,23.13,2.07,0,0,20.96,0,0,7.25,0,0,0,71.47,0,74.96,31.8,0,0,7.87,0,17.59,0,0,0,5.24
 84-94,0,0,1.01,0.76,9.53,0,0,27.87,3.6,0,0,14.59,0,0,0,0,0,0.85,32.11,0,86.82,43.32,0,4.34,22.32,0,24.85,0,0,0,0
 96-106,0,2.19,3.21,0.92,14.88,0,0,17.27,3.39,0,0,38.94,0,0,0.82,0,0,0,45.77,0,83.24,55.92,0,2.24,9.96,0,22.8,0,1.23,0,0
108-118,0,4.83,1.18,0.94,2.97,0.43,0.48,13.32,3.19,0,0.48,25.18,0,0,0.6,0,1.29,0.51,74.55,0,72.22,48.2,0,0,16.78,0,5.31,3.22,0,0.57,0
120,0,0,0,4,14.38,0,0,0,5.71,1.18,5.47,11.67,7,0,0,0,0,0,21.09,0,45.29,34.99,0,0,24.35,0,14.54,0,3.03,0,0
