stage,axial,blastomeres,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,17.74,114.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.11,446.58,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.47,0,0,91.77,0,12.26,0,0,0,0,0
 14-21,0,0,0,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.59,0.74,0,0,5.61,0,0.84,0,0
 36-46,0,0,0,0,0,1.21,0,0,0.87,0,0.94,0,0
 48-58,0,0,1.51,0.52,0.92,1.25,0.44,0,0,0,0,0,0
 60-70,0,0,0,2.2,0,0.95,0,0,0,0,0,0,0.64
 72-82,0,0,0,1.13,0,0,0,0,0,0,3.05,0,3.84
 84-94,0,0,0,0,0,0,0,0,0,1.93,0,0,2.92
 96-106,0,0,1.72,1.38,1.27,0,0,0,0,0,0,0.66,0
108-118,0,0,0,1.95,0,0,0,0,0,0,0,0,0
