stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0
 14-21,0.82,0.92,0.86,0.87,0,0,0,0,0,0,0,0,0,0,15,2.71,0,0,0,0,0,4.76,0,0,0,0,0
 24-34,0,1.28,2.84,0,0,1.41,0,0,0,0,0,0.67,0,1.12,161.86,0,1.43,0,0,0,0,30.24,0,0,0,0,0
 36-46,0,1.61,7.44,0,0,7.34,0,0.56,1.57,0,0,3.44,0,0,329.8,0,5.88,0,0,0,0,54.74,0,0,5.47,0,0
 48-58,0,6.87,63.09,0,1.13,16.37,0,0,3.65,0,1.12,3.92,0.41,1.64,378.34,0,6.45,0,0,0,2.49,55.41,0,0,0.43,0,0
 60-70,0,3.3,144.13,0,0,3.71,0,0,0,0,0,9.73,0,0,375.66,0,4.88,3.55,0,1.1,0,62.11,0,0.6,0,0,3.58
 72-82,0.76,0,111.62,0,0,9.54,0,0,1.6,0,0,19.46,0,0.73,274.96,0,9.4,0,0,0,0,15.76,0,2.24,0.61,0.76,0
 84-94,0,0,104.39,0,0,9.48,2.23,6.69,0.65,3.86,0,23.48,0,1.76,157.92,0,10.61,0,0,4.92,1.26,7.23,1.21,0.62,0,1.34,0
 96-106,0,1.24,84.46,0,0,4.61,0,1.95,4.03,0,0,5.6,0,2.26,132.69,1.64,21.75,0,0,0,0,7.8,0,0,0,0,0
108-118,0,0,101.23,0,0,0.94,0.45,1.84,5.06,0,0,16.43,2,0,156.04,0,13.16,3.57,0,0,0,5.88,0,2.44,0,0,0
120,0,0,89.56,0,0,14.46,0,4.65,7.05,0,0,28.41,0,0,248.55,0,3.36,0,0,0,0,1.74,0,0,0,8.42,0
