stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0
 14-21,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0.94,0,0,0,3.89,0,6.24,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,4.69,0,4.26,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.37,0,1.74,0,0.4,0,0,0,0,0,0,0,0,10.97,0,2.41,1.21,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.62,0,2.89,0,0,0,0,0,7.65,0,0,2.06,0,3.5,2.38,0
 72-82,0,0,0,0,9.2,0,0,0,0,0,2.93,0,0,1.45,0,0,0,9.68,0,0,0,0,0,30.49,0,9.43,0
 84-94,0,0,0,0,6.15,0,13.37,0,0,0,3.89,0,0,2.9,5.16,0.75,0,7.17,1.16,0.58,2.36,0,0.98,133.35,1.08,9.46,0
 96-106,0,0,1.56,0,15.83,0,9.5,0,0,3.24,7.65,0,0,10.38,5.46,2.12,0,14.19,0,13.06,0,0,0,321.7,0,15.55,1.69
108-118,0,0,0,0,14.9,0,1.81,0,0,4.02,8.16,0,1.1,2.09,0.43,0,1.6,21.15,0,5.37,0,0,0,392.49,2.56,12.32,0
120,0,0,0,0,11.89,0,0,1.28,0,0,18.23,0,0,6.68,0,2.47,0,2,0,0,0,0,0,124.93,0,25.6,0
