stage,blastomeres,epidermis,erythrocytes,eye,immune,mesenchyme,neural,paraxial_mesoderm,vasculature
  3-4,18.24,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,25.73,5.02,0
 10-12,0,0,0,0,0,0,13.64,0,0
 14-21,0,0,2.31,0,15.73,0,0,0,0
 24-34,0,0.72,0,0,32.09,0,0,0,0
 36-46,0,0,0,0,11.73,0,0,0,0
 48-58,0,0,0,0,22.26,0,0.86,0,0
 60-70,0,0,0,0.83,18.21,0,0,0,0
 72-82,0,0,0,0,23.03,0,0,0,0
 84-94,0,0,0,0,17.75,0,0,0,0
 96-106,0,0,0,0,21.22,1.8,1.14,0,2.9
108-118,0,0,0,0,22.53,0,0,0,0.47
120,0,1.09,0,0,37.27,0,0,0,1.54
