stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.2,3.3,2.22,0,0,0,0,0.99,0,0,0,0,2.04,0,0,2.95,28.59,0,0,0,0.86,3.15,1.7,0,0,10.87,11.56,0,2.4,0,0
 24-34,0,0,0,0.61,0,0,0,0,0,0,0,0,3.11,6.44,0,0,1.88,37.94,0,0.72,0,0,0.73,0,0,0,0,18.46,0,0,0,0
 36-46,0,0.73,0,11.56,0,1.06,0,5.77,0,0,0,0,0,6.99,0,0,2.41,52.06,0.6,1.49,1.16,0,0,0,0,0,0,14.09,0,0,0,0
 48-58,0,0.83,0,19.21,0,0.41,0.41,2.04,0,0.42,0,0,0,7.66,0.47,0,1.45,47.75,0,1.22,0,0,1.59,0,0,0,0,11.67,0,0,0,0
 60-70,0,0,0,15.38,0,0,0,0.65,0,0,0,0,0,5.46,0,0.7,0.81,55.09,0.83,0,1.33,0,8.64,0,0,0,0,2.4,0,1.45,0.8,0
 72-82,0,2.81,0,19.31,0,0,1.91,5.63,0,0.59,0,0,0,12.6,0,0,0.93,33.39,0,0,0.76,0,4.9,0,0,0,0,5.57,0.51,0,0,0
 84-94,0,5.98,0,2.02,0,0,0,0.75,1.34,0.59,0,0,0,12.88,0,0.57,0,17.16,0,0,2.05,0,31.41,0,0.8,0,0,2.55,0,1.49,0,2.42
 96-106,0,0.98,0,10.46,0.62,0,0.75,14.44,1.3,0,0,0,0,1.49,0,0,1.56,20.26,0,0,0,0,23.36,0,0,0,0,7.18,0,4.07,1.31,0
108-118,0,8.16,0,6.67,0,0.98,0.65,0.91,3.61,0,1.61,0.81,0,13.95,1.01,0,1.46,20.78,0,0,0,0,19.55,0,0,0.44,0,5.14,0,0,0,0
120,0,8.71,0,10.64,0,0,0,7.97,0,4.91,0,0,0,7.06,0,2.4,6.17,16.23,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0
