stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste
  3-4,0,45.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,162.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.02,0,0,0,0,4.53,0,0,0,8.1,0,0,0,0,0,0,57.77,0,0,0,6.39,0,0,0,0,0
 10-12,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,41.71,0,0,0,3.77,0,0,0,0,0
 14-21,0,0,0.93,5.81,2.64,4.63,0,1.51,1.19,0,0,1.11,1.55,0.86,0,2.13,29.29,0,0,0,0,1.01,2.06,2.88,19.78,0
 24-34,0,0,0.68,0,0,1.21,0,3.19,0.66,0,0,0,0,1.69,0,1.82,49.12,0,1.22,0.68,0,2.89,0,1.23,21.48,0
 36-46,0,0,0,1.44,0,1.4,0,3.01,0,0,0,0,0.66,1.5,0,0,28.61,0,0,0,0,12.51,0,0,12.48,0
 48-58,0,0,0,0,0,5.25,0,1.58,0,0,0,0,1.39,5.74,0,0.39,23.18,0,0,0,0,0,0,0,8.53,0
 60-70,0,0,0,0,0,0,0,3.9,0.65,0,0,0,2.42,2.53,0,0,6.77,0,0,0.82,0,0,0,0,0.75,0
 72-82,0,0,0,0,0,0,0,2.62,0,0,0,0,2.93,8.93,0,0,9.33,0,0,0,0,4.75,0,0,0,0
 84-94,0,0,0,2.3,0.87,0,0.78,3.39,0.77,0,0.63,0,0.8,2.72,1.32,0,2.72,0,0,0.61,0,1.19,0,0,0,0
 96-106,0,0,0,2.23,7.17,2.29,0,1.5,1.31,0,0.62,0,4.84,8.24,0,2.05,4.24,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.22,0,4.63,0,6.54,0.64,0,0,0,0.94,13.31,0,1.46,7.37,0.51,0,3,0,1.78,0,0,0,1.56
120,0,0,0,6.71,0,0,0,8.96,0,0,0,0,3.25,5.48,0,2.42,11.72,0,0,0,0,0,0,0,0,0
