stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,19.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.44,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.01,0,0,1.99,9.16,6.67,0,0,0.91,0,0,4.36,2.38,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,6.26,28,1.55,0,0.6,0,0,0,0.6,0.7,0
 36-46,0,0,0,0,0,0,0,0,0,3.91,0,1.32,0,0,0.85,0,0,0,0,0.87,0
 48-58,0,1.7,0,2.99,0,0,0,0,0,0.77,0.42,11.39,0,1.18,0,0,0,0,0,0.66,0
 60-70,0,0,0,3.47,0,1.9,0.8,0,0,0,0,2.43,0,0,8.46,0,0,0,0,0,0
 72-82,0,0,3.96,48.34,0,0,0.68,0,0,1.53,0.87,8.84,0.55,0,3.01,0,0,0,0,1.38,0
 84-94,0,1.22,6.43,44.6,3.76,0,1.87,1.22,0,0.98,0,4.67,0,0,0.61,0,0.73,1.3,0,0,0
 96-106,0,0.62,6.15,28.78,0,0,1.7,0,1.36,0,1.64,9.45,0,0,8.79,0,1.05,0,0,0,2.42
108-118,0,1.58,4.69,61.34,0.46,0,6.79,0,1.41,5.81,0,6.92,0,0,1.13,0,0,1.37,0,0.95,0
120,0,0,3.23,32.1,1.01,0,0,0,0,11.26,0,24.22,0,0,2.04,0,0,0,0,0,0
