stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.02,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,16.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.57,0,25.74,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,155.56,5.46,0,0,736.59,0,0,4.61,67.11,0,0,0,0,0,0,0,0
 14-21,1.47,0,0,225.83,83.81,4.59,0,0,0,59.24,26.13,0,0.94,0,0,79.6,0,0,43.38,176.53,68.93,0,0,433.34,0,0,1223.53,1.49,5.86,275.22,763.58,0,0,7.04,0,0
 24-34,0,0,0,67.54,4.73,1.9,0,8.91,10.55,95.73,23.38,0,0,0,0,78.95,0,0,93.86,92.56,27.56,0,0,0,0,1.82,2.88,0,1.42,141.89,541.16,0,0,44.67,0,3.99
 36-46,0,0,0,16.4,0,3.13,4.6,11.17,19.78,43.18,3.97,0,0,0,1.26,127.88,3.82,4.21,95.95,80.49,9.43,0.56,0,0,0,0.75,4.15,0,8.87,0.59,673.09,0,0,28.11,0,2.08
 48-58,0,0,0,20.43,0,16.66,0,13.2,33.05,34.51,1.17,1.15,0,0,0,128.16,0.57,3.65,64.8,91.53,10.26,0,0,0,0,1.01,0,0,2.67,0,786.17,0,0,7.04,2.18,0
 60-70,0,0,0,9.72,0,14.24,3.25,2.5,24.1,45.7,3.84,0,0,0,0,108.79,2.44,12.13,39.92,112.16,3.07,0,1.23,0,0,0,0,0,2.96,0,761.13,0,1.31,6.5,5.15,0
 72-82,0,1.15,0,10.06,0,19.89,0.53,10.52,27.67,45.71,3.43,0,0.75,0,0,101.45,0.56,29.53,23.2,112.75,9.17,1.27,0,0,0.72,0,0,0,0.49,0,399.18,3.64,1.5,8.73,18.46,0
 84-94,0,0,0,12.06,0,27.5,0,9.26,28.67,62.81,13.99,0,0.66,5.73,0,99.55,0,16.16,50.68,101.1,8.3,0,0,0,36.25,0,0,0.79,0,0,353.46,0,1.21,16.87,11.78,0
 96-106,0,2.86,0,6.37,2.07,31.05,0,8.21,27.83,30.22,9.24,0,0,0,0,65.48,0,20.21,30.68,73.09,3.98,0,0,0,0.79,9.12,0,0,0,0,104.93,0,0,9.14,21.54,0
108-118,0,3.02,0.74,10.89,2.9,23.14,0.96,8.48,17.83,34.54,8.12,0,0,0,1.59,76.94,0,21.91,25.58,94.15,1.78,0,0,0,10,0,0,0,0,0,72.17,0,0,16.32,9.82,4.72
120,0,0,0,18.97,0,8.64,1.75,7.38,13.55,43.07,25.17,0,0,0,5.37,46.54,0,44.5,27.3,46.96,5.65,0,13.55,0,0,0,0,0,0,0,13.9,0,0,23.89,28,2.08
