stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,51.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.04,0,86.94,0,0,7.53,0,0,0,0,200.23,0,0,0,0,0,0,0,0,0,0,116.36,20.65,0,33.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,75.57,0,0,8.44,0,0,0,0,223.36,0,0,0,0,0,0,0,0,0,0,156.93,52.35,0,91.11,0,0,0,14.34,0,0,0,0,0,0
 14-21,0,0,0,17.66,4.02,0,0,0,0,3.39,10.8,0,0,0,0,0,0,17.11,0,0,7.53,29.3,4.69,2.36,0,0,0,6.39,2.85,5.55,19.35,0,2.57,0,0
 24-34,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.74,0,48.02,0,0,7.95,6.6,13.02,1.47,0,3.82,0,0,2.42,0,0,0,0,0,0
 36-46,0,0,0,1.27,0,3.2,0,0,0.72,0,0,0,0,0,12.72,0,0,72.16,1.03,0.89,4.75,6.87,8,0,0,0,0,0,0,0,3.49,0,0,0,0
 48-58,0,0,0,0,0,2.05,0.39,1.2,1.91,0,0,0,0,0.39,1.38,0,0,175.85,0,0.44,6.16,26.17,2.07,0.62,0,0,0,0,0,0,3.94,0,0,0,0
 60-70,0,0,0,1.79,0,9.06,2.32,0.9,0,0,0,0,0,0,6.65,0,0,212.79,0,1.33,7.55,4.1,4.75,0,0,0,0,0,0,0,4.33,0,0,0,0
 72-82,0,0,0,1.99,0,6.63,0,0.62,3.61,0,0,8.52,0,0,15.51,0,0,242.38,0,4.17,5.68,19.02,0,7.69,0,0,0,0,0,0,3.57,1.69,1,0.86,0
 84-94,0,0,0,0,0,8.09,2.54,5.97,2.28,0,0,3.69,0,0,18.05,0,0,185.48,0,5.77,0.79,14.84,0,0,0,0,7.4,0,0,0,0,0,0.91,2.49,0
 96-106,0,0,0,1.7,7.35,6.44,3.59,0,0.82,0,0,1.61,0.74,0,11.62,0,0.7,184.86,0,2.52,1.38,7.32,0,0.77,0,0,0.95,0,0,0,1.23,1.82,0,2.71,6.84
108-118,0,0,0,1.91,0,4.23,3.31,1.88,2.01,0.62,0,0,0.44,0,16.59,0,0,185.12,0,7.79,4.02,14.2,0.44,0,0,0,0,0,0.99,0,0,2.33,0,0,0
120,0,0,0,8.78,0,0,0,0,0,1.45,0,0,2.4,0,28.51,0,0,177.41,0,0,3.62,6.98,0,1.8,0,0,0,0,0,0,0,3.07,0,0,0
