stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.33,109.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,189.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,5.92,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13,0,0,0,14.23,0,0,0,3.26,0,0,0,0,0,0,0,0
 14-21,0,0,5.75,0,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,5.71,25.3,0,0,0.94,0,0,0,1.16,0,1.41,24.43,49.5,0,0,0,0,0
 24-34,0,0,9.97,0.83,0.65,0,0,11.05,0,0,0,0,3.36,0,0.86,0,0,0.78,0,0,2.22,0,0,10.58,478.94,0,18.93,29.59,0,0,0,0,0,0,17.07,113.05,0,0,0,0,0
 36-46,0,0,7.74,0,0,0,0,7.58,0.61,1.39,0,4.13,0,0,0,0,0,3.34,0,0,2.74,0,0.86,2.88,1074.83,0,28.55,15.69,0,0,1,0,0,1.78,0,236.97,0,0,0,0,0
 48-58,0,0,4.22,0,11.65,0,0,153.42,1.05,2.6,0.45,15.24,0,0,0,0,0,1.61,4.53,0,8.25,1.46,0.59,2,1919.15,0,16.72,24.72,0,0,1.26,0,4.54,0.37,0,253.07,0,0,0,0,8.17
 60-70,0,0,1.79,0,3.91,0,0,638.1,1.17,0,0,34.66,0,0,0,0,0.82,3.5,0,0,20.37,1.1,0.93,2.11,2878.27,0,19.11,29.65,0,0,8.21,0,0,0,0,356.57,0,0,0,0,0
 72-82,0,0,4.76,0,13.99,1.42,1.16,1193.42,4.16,0.7,1.79,58.1,2.46,0,1.21,0,0.9,28.29,5.32,0,38.2,0,1.1,2.67,3002.52,0,32.7,35.57,0,5.56,11.16,0,0.5,8.23,0,244.26,3.4,0,3.59,0.93,15.35
 84-94,0,0,4.56,0,7.93,11.09,0.59,997.63,0.57,0.68,0,45.44,1.16,0,2.79,0,1.19,14.1,0,0.96,43.85,0,0.86,4.01,2220.5,0,27.59,73.48,0,0,14.58,0,0,0,0,230.25,3.73,0.63,0.78,0.63,0
 96-106,0,0,5.67,0,25.35,16.95,2.21,1269.42,0.93,1.54,0,61.1,0,1.61,4.88,3.17,3.6,32.95,16.36,0,48.41,2.19,1.02,0.59,1929.46,0,33.2,67.95,0,0,7.52,5.44,0,0,0,113.45,6.17,5.03,1.25,0,0
108-118,0,0,7.78,0,27.66,3.09,1.87,1239.3,0.76,0,1.47,48.98,0.7,0,1.39,0,0,11.07,4.5,0,49.98,0,2.64,1.28,2160.16,1.37,18.75,78.46,0,2.15,0.62,0,0,0,0,58.82,12.45,1,0.85,2.24,1.55
120,0,0,2.59,0,23.34,17.27,0,1150.99,1.18,17.14,3.17,118.26,0,0,11.21,0,3.86,14.79,0,0,91.25,0,0,6.92,3719.44,0,113.63,66.7,0,31.31,1.26,0,0,0,0,53.61,1.12,0,2.25,0,0
