stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1.21,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.27,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0.99,0,0,0,0,1.36,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.4,0,0,0,0,0,3.56,0
 60-70,0,0,0,0,3.13,0,3.01,0,0,1.77,0,1.45,0,0,0.91,0,0,0,3.1,7,0,1.16,0
 72-82,0,0,0.84,15.98,0,0.93,0,0,1.01,0,0,5.87,0,0,3.74,0,0.6,0,0,0,0.52,0,0
 84-94,0.62,0,0,3.12,0.64,3.5,0,0,0.91,0.63,0.65,4.55,0,0,7.46,0.61,3.78,0,1.39,0,4.73,5.65,0
 96-106,1.12,0,1.02,27.32,10.99,8.57,0,0,10.91,0.58,0,18.47,1.6,1.17,20.79,1.43,0.96,0,7.62,2.06,3.36,0,0
108-118,0,0,5.85,6.15,3.35,16.41,6.08,0,1.53,0,1,26.15,0,8.08,10.8,2.69,3.07,0,3.24,0,0,0.53,0.83
120,0,0,0,1.94,0,31.03,1.45,10.08,19,2.11,0,46.38,1.26,0,0,2.55,1.36,3.15,1.52,5.77,0,0,6.37
