stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,periderm
  5-6,21.1,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.47,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.96,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,4.96
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,11.25
 72-82,0,0,0,0,0.57,0,0,0,0,0,4.28,0,26.99
 84-94,0,0,0,3.08,1.21,0,1.74,0,0,0.71,0,0,83.75
 96-106,0,1.41,0,0,2.48,1.81,2.23,0,2.52,0,0,7.11,218.57
108-118,0,0.42,3.12,4.63,0.45,0,0.65,0.65,0.49,1.5,0,10,92.05
120,0,0,0,0,0,0,0,0,0,0,0,4.35,35.56
