stage,blastomeres,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,neural,pericytes,vasculature
  5-6,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0
 10-12,0,12.43,8.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,37.97
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,11.86
 48-58,0,2.61,0.73,0,0,0,0,0,0,0.59,0.42,2.45,0,13.03
 60-70,0,5.19,1.81,3.03,0,0,0,9.27,0,0,0,3.51,0,2.16
 72-82,0,17.34,0,1.34,2.46,0,0.53,0.55,0,0.53,1.3,5.18,0,9.68
 84-94,0,9.53,0.9,1.82,0,0,1.73,0,0,0,0,0,0,7.41
 96-106,0,0,0,6.57,0,1.32,30.51,0,0,0,0,3.74,0,12.03
108-118,0,27.22,0,4.89,0.62,0,34.67,0,0.6,1.48,0,0,0,10.28
120,0,10.11,0,41.58,0,0,19.38,0,0,0,0,18.4,7.72,16.18
