stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,173.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.67,444.09,0,0,0,0,0,0,0,0,0,0,0,45.77,14.47,9.77,7.22,0,0,0,0,0,0
  7-9,4.11,8.06,10.67,0,13,0,0,0,3.78,0,0,0,0,228.44,7.55,60.62,0,0,0,0,0,0,0
 10-12,0,12.63,0,0,29.19,0,0,0,0,0,0,0,0,240.17,0,22.72,0,0,23.61,0,0,0,0
 14-21,0,0,0,1.1,0,0,0,0,0,0,0,0.87,0.96,21.29,0,0,0,1.67,0.88,0,4.06,0,0
 24-34,0,0,0,0.94,3.29,0,0.84,0,0,0,0,1.63,0,40.67,0,0,0,0,0,0.62,6.28,0,0
 36-46,0,0,0,0,3.55,0,0,0,0,0.6,0,1.64,0.63,26,0,0,0,0,0,0,3.05,1.03,0
 48-58,0,0,0,0.42,6.03,0,0.4,0,0,0,0,3.22,0,12.16,0,0,0,0,0,0,1.97,0,0
 60-70,0,0,0,0,7.17,0.59,11.13,0,0,0,0,4,0,7.57,0,0,0,0,0,0,0.8,5.79,0
 72-82,0,0,0,0,5.88,0,0,0,0,0,0,4.81,0,6.22,0,0,0,0,0,0,2.31,0,0
 84-94,0,0,0,0,1.99,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.57,0,1.76,0,0,0,0,2.07,0,0,0,0,0.76,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.07,1.07,0,0.6,3.53,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.22,0,2.58,1.25,0,0,0,0,0,0,0,1.45
