stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,16.24,517.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.67,309.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,22.01,0,0,0,3.88,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,61.64,0,0,0,24.14,0,0,0,0,0,0
 14-21,0,0,0,2.3,1.7,0,0,0,11.66,0,5.14,0,0,0.84,0,1.77,23.03,275.32,0,0,2,1.4,0,0,1.78,4.88,4.83
 24-34,0,0,0,2.68,2.02,2.78,0,0,11.59,5.27,0,0,0,0.64,0,0.65,27.94,53.31,4.98,0,0,5.24,0,11.8,1.43,5.84,5.98
 36-46,0,0,0.72,0,0,0,0,0,6.81,0,0,0,0,0.66,0,0.63,29.81,64.05,5.17,0,0,1.67,0,11.11,0,9.39,0.62
 48-58,0,0,0,0,0,5.04,0,0,0.64,0,0,0,0,0,0,0,18.43,36.09,4.91,0,0,0,0,0,0,23.4,1.92
 60-70,0,0,0,0,0,21.8,1.96,2.01,0,0,0,0,0,0,0,0,46.68,28.9,5.17,0.84,0,3.87,0,1.64,0,37.2,0
 72-82,0,0,0,0.54,0,23.21,0,0,3.24,0,0,0,0,0,0,0,93.38,16.65,1.54,0.88,0,0,0,0,0,63.58,0
 84-94,0,0,0,2.89,0,27.34,0,6.02,2.04,0,0,0,0,1.26,1.44,0,57.21,11.86,1.87,0,0,0,0,3.54,0,47.11,0
 96-106,0,0,0,0.6,0,12.37,0.98,8.34,8.25,0.56,0,0.76,1.22,2.87,0,0,125.15,17.52,3.5,1.73,0,0.81,0,1.4,0,26.03,3.68
108-118,0,0,1.47,0,0,27.96,0.69,1.07,1.89,1.5,0.86,0,0,8.93,0,0,90.39,35.09,7.13,2.71,0,2.32,0.48,2.79,0,37.15,1.19
120,0,0,0,0,0,14.33,0,20.35,13.7,3.35,0,0,0,0,0,0,148.07,53.91,21.61,11.1,0,0,0,1.13,0,1.95,0
