stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,39.21,0,0,0,0,0,3.11,0,0,0,0,0,0,0,4.36,0,0,0,0,0,21.2,2.37,0.84,3.55,11.03,0,0,94.29
 24-34,0,0,11.71,0,1.4,0,0,0,19.74,0,0.63,0,0,25.92,0.74,0,9.66,36.98,0,0,1.35,0,39.4,0,0,0,6.46,2.97,0,544
 36-46,0,0,0,0,0.73,0,1.09,0,7.29,0,0,0,0,17.55,0,0,5.31,50.87,0,0,0,0,23.49,0,0,0,0,5.2,0,343.3
 48-58,0,0,0,0,3.62,0,0,0,24.56,0,0,0.62,0,23.62,0,0,4.65,23.56,0,0,1.09,0,3.27,0,0,0,0,1.49,0,225.24
 60-70,0,0.9,0,0,34.26,0,0,0,18.88,2.38,0,0,0,9.51,0,0,5.87,20.7,0,0,0,0,0,0,0,0,0,0,1.03,180.2
 72-82,0,0,0.89,0,72.96,1.07,1.84,0,22.32,0.53,0,0,0,9.2,0,1.23,9.73,11.49,0,2.38,0.82,0,0.62,0,0,0,0,0,8.1,307.74
 84-94,0,0,0,0,98.95,0.77,0,0,25.78,0,0,0,0,22.12,0,0,7.48,23.71,0,0.95,1.76,0,7.53,0,0,0,0,0.68,1.73,331.69
 96-106,0,0.65,11.1,2.87,45.65,0,0,1.26,47,0,0,0,0,13.44,0,0,5.27,49.35,0.82,0,0,3.21,6.65,0,0.61,0,0,0,0.93,404.64
108-118,0,0.95,0,0,12.72,0,0,0.51,19.45,0.58,0.42,0.66,0.6,17.25,0,0,14.72,25.33,0,0,0,0,1.92,0,1,0,0,0,2.27,292.94
120,0,2.54,2.35,0,25.16,0,0,1.88,14.64,2.34,0,0,0,4.75,0,2.35,20.43,14.01,0,0,0,0,0,0,0,0,0,0,21.07,255.14
