stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,59.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.45,0,0,0,0,0
  7-9,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,32.75,5.34,0,0,3.97,0,0,9.86,0,0,0,0
 10-12,0,12.22,0,0,0,11.03,0,0,0,0,9.53,0,0,0,5.32,0,0,0,73.77,0,0,0,24.47,0,0,0,0,5.62,0,0
 14-21,0,0.9,19.34,0.99,0,10.35,0,0,0,3.28,1.06,0,48.04,0,0,2.12,2.41,2.9,48.23,0,0,2.36,0,0,30.86,0,1.72,0,12.59,0
 24-34,0,0,6.36,0,0,8.63,6.6,0,0.95,0.71,0,0,376.38,0,0,6.52,50.5,0.71,22.49,0,0,0,0,0,98.38,0,0,0,5.12,0
 36-46,0,0,2.36,0,0,3.65,0,0.62,0,0,0,0,297.9,0,0,1.86,14,0,21.48,3.73,0,0,0,0,112.75,0,0,0,5.04,0
 48-58,0,0,6.16,0,0,1.95,0,0,0,0,0.57,0,43.96,0,0,0.57,0,1.03,11.15,0,1.52,0,0,0,84.91,0,0,0,2.55,0
 60-70,0,0,5.02,0,0,1.37,3.8,0,0,0,0,0,50.61,0,0,0.59,0,2.29,10.38,0,0,0.76,0,0,97.31,0,0,0,0,0
 72-82,0,0,3.28,0,0,5.4,0,0,0.65,0,0,0,46.81,0,0,0,0,0,18.14,0,0,0,0,0,50.79,0,0,0,0,0
 84-94,0,0,9.39,0,0.59,0,1.42,0,9.07,0,0,0,109.48,0,0,6.83,3.07,0,7.13,0,0,0,0,0,127.54,0,0,0,1.33,2.39
 96-106,0,0,17.17,0,0,8.46,0,0,0,0,0,0.78,92.52,0,0,7.74,5.79,0,7.02,0,0,1,0,1.96,71.28,0,0,0.7,1.54,0
108-118,0,0,7.19,0,0,3.51,1.07,0,0,0,0,0,113.04,0.72,0,0,4.4,0,14.43,0,0,0,0,0,59.52,0,0,0,0,0
120,0,0,20.59,1.49,1.23,0,1.22,0,0,0,0,6.12,132.71,0,4.16,0,1.35,0,10.64,0,0,0,0,0,87.95,0,0,1.12,0,0
