stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,121.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.95,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,1.11,0,0,0,58.82,0,3.1,2.82,0,0,0,1.03,2.3,0,2.29,22.67,0,0,0,0,0
 24-34,0,0,0,0,1.7,0,5.56,0,0,0,0.69,0,0,0,0,0,0,0,0,0,2.61,0,0,8.95,323.5,0,28.83,2.87,0,0,2.74,0,11.13,1.7,0.67,45.55,0,0,2.43,0,0
 36-46,0,0,0,2.01,0.67,0,18.15,0,0,0,12.06,0,0,0,0,0,0,0,4.05,0,4.05,0,0,1.65,1045.29,0,23.39,10.37,0,0,9.84,0,18.43,0,0,143.11,0,0,0.56,0,0
 48-58,0,0,0,10.55,0,0,97.04,0,4.85,0,20.95,2.3,0,0,1.63,0,0,0.4,0,0,14.32,0,0,2.5,1479.25,0,13.35,12.83,0,0,6.26,0,0,1.3,0,230.02,0,0,0.66,0,1.43
 60-70,0,0,0,1.42,0,0,511.14,0,0,0.87,54.5,0,0,0,0,0.61,0,2.72,0,0,10.58,0,0,4.35,2285.73,0,18.05,4.76,0,0,4.24,0,0,0,0,302.38,0,0,0,0,8.44
 72-82,0,0,2.8,13.35,7.06,0,607.75,1.25,0,0.59,95.72,0,0,0,0.49,0,0,0.7,0,0.57,31.9,0,1.14,1.93,2018.1,0,36.33,15.06,0,0,11.63,0,0,0,0,303.11,2.98,1.7,0,1.49,0
 84-94,0,0,2.82,0.64,0.67,0,501.73,0,0,0,56.93,0,0.66,0,0,1.56,0.68,0.59,0,1.55,42.64,2.26,0.93,2.83,1480.95,5.65,19.75,4.37,0,0,5.85,0,1.19,0,0,206.2,0,1.25,0.97,1.36,3.24
 96-106,0,0,0,8.06,6.74,0,614.99,0,0,1.39,126.56,1.03,0,1.68,0,0.8,1.9,7.15,0,0,19.02,0,4.77,4.66,1172.82,0,29.46,19.62,0,9.4,3.72,0,0.6,0,0,99.3,0.81,1.8,2.7,0.85,7.15
108-118,0,0,1.59,19.91,1.28,4.57,424.38,0,0,3.63,117.03,1.05,0,0,0,0,0,0.42,0,0,39.16,0,0,3.92,1656.06,0.45,14.79,22.53,0,1.65,0.44,0,0,0,0,43.42,0.68,0,2.08,0,1.19
120,1.12,0,2.94,18.09,1.33,0,522.26,0,0,19.12,94.47,3.21,0,0,2.66,0,0,4.86,0,1.54,18.27,0,0,9.15,2305.3,0,23.9,9.66,0,0,8.29,0,0,0,0,26.67,0,0,0,1.93,0
