stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,1806.51,32929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966.83,0,0,0,0,0,0,0,0,0
  5-6,2655.52,31746.74,31.2,0,0,0,0,0,0,0,0,20.28,0,0,0,0,0,0,0,0,0,0,743.25,67.98,0,0,200.97,340.08,0,0,0,0,0,0,0,0,0
  7-9,344.26,663.07,912.05,0,0,0,1743.5,0,0,0,0,416.23,0,0,0,0,0,0,0,0,0,0,17096.92,525.47,0,0,6412.73,35.96,218.99,0,0,0,0,0,0,0,0
 10-12,0,321.03,699.28,0,99.79,0,993.72,0,0,0,0,80.14,0,0,0,0,0,0,0,0,0,0,8835.76,53.97,0,0,4120.93,35.71,84.89,8.32,436.11,25.22,9.65,0,0,0,0
 14-21,0.93,0,7.92,94.54,27.73,0,45.28,0,0,15.54,3.43,0,0,0,2.78,0,0,4.33,53.02,0,0,68.54,824.66,24.25,4.17,9.08,67.42,19.71,1.12,99.9,10.49,56.23,253.38,0,0,1.14,0
 24-34,0,0.83,3.54,20.83,3.58,0,203.3,0,0,19.58,2.19,0,3.29,3.47,0.71,0,0,7.94,117.26,0.65,1.52,46.39,1449.02,15.28,11.65,7.29,0,51.41,0,0,9.36,8.5,349.77,0,0,40.73,3.38
 36-46,0,0,0,15.9,1.44,0,434.71,0,0.63,37.77,0.72,0,0.75,1.65,0,1.37,0,8.61,112.37,0,2.41,29.69,1038.32,1.35,3.31,3.52,0,25.33,0,0,2.02,0,220.9,0,0,18.9,0
 48-58,0,0,0,12.54,9.29,0,482.1,0.55,0.41,32.96,0,0,4.11,0.41,0,6.2,0.57,0,105.87,1.67,8.16,31.75,491.61,7.55,2.06,4.82,0,6.12,0,0,0,0,66.3,0,0,11.47,0
 60-70,1.61,0,0,31.4,5.67,0,303.63,0,0,36.13,3.48,0,0,10.38,0,0,3.33,0,67.83,1.53,4.81,8.55,253.39,1.17,0,0.78,0,7.97,0,0,4.91,0,25.91,0,0.61,2.09,0
 72-82,0,0,0,7.76,0.59,0,85.08,1.26,0,38.33,1.79,0,0,2.7,0.84,0,0,3.93,75.61,0,4.58,6.75,132.71,1.06,1.46,4.6,0,4.88,0,0,0,0,3.6,0,0.5,8.72,0
 84-94,0,0,0,11.55,0.92,0,91.81,0.86,0,26.49,6.2,0,0.8,7.93,1.03,1.91,0,2.61,53.37,0,6.76,17.77,110.98,0.63,2.47,4.65,0,8.98,0,0,2.19,0,0,0,0,4.42,4.41
 96-106,0,0,0,9.27,5.59,0,54.52,0,0,18.87,8.11,0,0,2.04,1.06,0,0,0,29.46,0,1.41,3.75,96.04,0,1.77,2,0,5.04,0,0,1.02,0,2.62,0,0,9.88,0
108-118,0,0,0,7.03,4.38,0.96,74.7,0,0.93,21.79,2.22,0,0,2.61,0.44,0.82,0,0.9,26.7,0,1.86,6.21,142.31,0.57,2.63,0.43,0,1.27,0,0,1.53,0,2.39,0.71,0,11.46,0
120,0,0,0,3.25,8.16,0,71.18,0,1.04,26.06,0,0,5.18,2.33,0,0,1.84,0,50.82,0,1.41,4.22,122.24,0,0,6.38,0,1.47,0,0,0,0,3.82,0,0,8.37,0
