stage,endocrine.pancreas,eye,glial,hatching.gland,immune,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,15.55,0,0,0,0
 10-12,0,0,0,5.59,0,0,0,0,0,0,4.74,0,0,0,0
 14-21,1.24,1.13,0,0,0,0,0,2.25,1.87,0,1.28,2.28,1.06,1.93,0
 24-34,0,0,1.39,0,0,0,0,0,3.79,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.98,0,0,0,0,4.34,0
 48-58,0,0.46,0,0,0,0.77,0,0,0.87,0,0,0,0,0,0
 60-70,0,2.83,0.68,0,0,0.97,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.94,0,0.54,0.67,0,0,0,0,0,0
 84-94,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.39,0,0,0,1.34,0,0,0,0,0.72
108-118,0,0.6,0,0,0,0,0.8,1.12,0.75,0,0,0,0,0,0
120,0,2.97,0,0,1.53,2.31,0,0,12.23,0,0,0,0,0,0
