stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,95.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,119.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,6.28,0,0,10.58,0,0,0,0,0,0,0
 10-12,7.59,0,0,3.18,0,0,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,72.67,4.29,0,0,38.46,0,0,0,0,0,0,0
 14-21,0,0,1.07,1.03,60.57,0.92,2.52,0,0,0,13.97,0,0,0,0,0,0,0,0,11.48,0,2.06,142,1.86,1.37,0,0,0,2.1,5.89,82.75,0,0,0
 24-34,0,0,0,0.84,13.21,0,3.29,0,0.95,0,43.71,0.92,0,3.31,0,0,0,0,1.37,25.25,0,7.93,474.94,0,0.95,0.64,0,0,0,2.1,133.39,0,0,0
 36-46,0,0,0,0,4.6,0,15.98,0,0,0,24.42,0,0,0.92,0,0,0,0,0,56.11,0,18.9,907.98,0,1.45,0.65,0,0,0,0,200.12,0,0,0
 48-58,0,0,0,0,5.55,0,37.36,0,0,0.69,29.36,0,0,0.9,0,3.3,0,1.02,0,81.74,0.83,5.58,1086.79,0,0.37,0.62,0,3.28,0,0,155.23,0,0.61,0
 60-70,0,0,0,0,5.63,0,51.86,4.31,0,0.98,26.45,0,0,0.93,2.33,0,1.16,0,0,85.41,0,2.16,915.34,0,0,2.14,0,2.21,0,0,93.2,0,0,0
 72-82,0,0,0,0,1.48,0,48.63,0,0,0,32.41,0,0,0,0,5.13,0,3.06,0,59.03,0.63,2.41,906.84,0,0.53,3.97,0,0,0,0,103.55,0,0,0.91
 84-94,0,0,0,0,2.9,1.05,68.16,0,4.74,0,36.79,1.25,0,0,0.65,0,0,0.68,0,63.94,0,3.45,683.23,0,0.64,0,0,0.69,0,0,59.85,0,0,0
 96-106,0,0,0,0,2.35,0,46.77,0,0,0,29.78,1.16,0,0,0.63,0,0,0,0,53.66,0,0,589.48,0,0,0,0,1.64,0,0,22.08,0,2.7,0
108-118,0,0,0,0,1.28,0.94,44.86,0,0,0,22.17,0,0,0,0,0.73,0,0,0,58.35,0,0.61,597.99,0,0.47,0,0,0,0,0,12.63,0,2.27,0
120,0,0,0,0,6.49,0,35.22,0,0,0,23.07,0,0,0,0,0,0,5.29,1.33,76.87,0,0,953.92,0,0,0,0,0,0,0,20.1,5.98,1.54,0
