stage,axial,blastomeres,erythrocytes,eye,fin_epithelia,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,164.63,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0
  5-6,25.61,102.54,0,0,0,0,0,0,0,0,17.23,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.63,0,0,0,0,0,24.87,7.3,0,0,3.25,0,4.81,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.36,0,0,0,3.77,0,0,0,0,0
 24-34,0,0,0,0.75,0,0,0.91,0,1.16,3.04,0,0,9.61,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,1.09,0,1.72
 48-58,0,0,0,0.86,0,0,1.61,0,0,9.94,0,0.88,7.69,0,0,0,1.28,0,0
 60-70,0,0,0,7.65,0,0,8.09,0.63,0,1.64,0,0,8.49,0,0,0,0,0,0
 72-82,0,0,0,3.67,0,1.5,10.95,0,0,12.24,0,0,23.23,0,0,0,3.61,0,0
 84-94,0,0,0,0,0,0,8.8,0,0,3.47,0,0,40.05,0,0,0,0,0.71,1.73
 96-106,0,0,1.97,1.32,0,5.67,10.12,0,0,8.2,0,0,47.61,0,0,0,0,0,0
108-118,0,0,0,4.11,0,0,3.77,0,0,3.72,0,0,49.17,0,0,0,0,0,0
120,0,0,0,0,1.06,0,9.97,0,0,4.3,0,0,49.58,0,0,0,0,0,0
