stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,11.48,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,5.77,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,1.88,1.09,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,8.81,0.84,0,0,0,0,0,0.86,5.15,0,0,0,0
 24-34,0,0,0,0,0,1.89,2.78,0,0,0,0.6,0.64,2.61,0,1.75,0,0,3.13,37.25,0,0.68,0,0.77,0,0,0,7.06,0,4.33,0,0
 36-46,0,0,0,0,0,4.9,4.49,0,0,0,0,0,0,0,2.61,0,0,1.19,20.93,6.44,0,0,0,0,0,0,7.58,0,1.39,0,0
 48-58,0.42,0,0,0,0,1.66,1.72,0,0,0,0,0,0,0.4,3.46,0,1.23,0,12.59,0,1.41,0,0,0,0,0,6.72,0,4.07,0,0
 60-70,0,0,0,0,0,5.23,3.6,2.54,0,0,0.59,0,0,0,2.2,0,0,0,4.91,0,1.12,0,3.01,0,0,0,0,0,0,0,0.96
 72-82,8.42,0,0,0,0,1.31,3.83,11.12,0,0,0,0,0.62,0,2.7,0,0,0,9.66,0,0.56,0,2.94,0,0,0,0,0,3.63,0,0
 84-94,10.52,1.92,0,6.78,0,4.26,0.66,29.24,1.95,0,0.89,0,0.66,0,0.65,0,0,0,2.71,0,0,0,6.13,0.73,0,0,0,0.71,1.01,0,0
 96-106,8.2,0,0,2.18,0,2.85,3.12,85.73,0,0,0,0.63,15.57,0,12.8,1.23,0,0,16.28,3.15,1.01,0,0,0,0,0,0,0,2.19,0.69,0.8
108-118,12.74,2.23,0,5.15,0.46,4.51,3.93,171.25,0,0,0.8,4.06,15.97,2.88,0.7,0.53,0,0,15.66,0,0,0,0.45,1.15,0.69,0,4.86,0,0.77,0,2.37
120,15.04,1.66,3.6,0,0,5.97,0,182.24,0,2.04,6.48,0,8.35,0,0,0,0,0,42.27,0,0,0,0,0,0,0,0,0,2.78,0,0
