stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,71.21,0,17.88,0,20.3,0,114.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758.36,12.26,0,0,94.8,0,0,0,0,0,0,3.24,4.47,0,0,0,0,0
 14-21,0,0,3.04,162.14,12.36,0,1580.16,0,0,0,1579.62,4.47,14.34,2.44,1.73,3.6,1.11,0,10.07,0,60.82,0,0,27.76,36062.05,42.32,0,0.97,3.57,0,9.43,0,38.86,10.83,4.3,67.51,13629.47,0,0,0,0,4.43
 24-34,0.83,0,2.01,93.1,5.83,0,697.11,0,3.21,2.84,2188.31,5,6.93,4.25,5.87,7.45,16.22,2.96,8.67,13.1,157.89,0,0,81.66,37689.59,10.29,21.22,22.38,0,0,75,0,0,19.93,27.99,25.38,21095.38,0,0,91.87,0,30.16
 36-46,0,0.85,0,18.69,0.67,0,470.51,0,10.4,16.63,5691.42,1.58,1.84,0.73,8.03,0.79,3.64,0.77,0.59,10.01,138.42,0,3.21,60.86,24568.45,15.12,19.55,14.07,0,0,58.92,0,0,6.39,7.4,0.96,31741.97,0,0,35.58,0,30.04
 48-58,0,0,0,62.17,9,0,649.03,3.31,27.16,11.05,11079.18,0,0,3.08,13.26,1.3,14.38,1.82,0,0.6,131.23,7.16,9.46,30.56,7268.14,1.05,17.36,18.04,0,0.47,33.41,0.65,0,0,1.87,0,32983,0,0.4,18.24,0,64.68
 60-70,0,0.89,0,104.04,0.57,0,551.34,0,0,6.52,19680.18,0,0,1.82,2.2,0,3.07,0,0,4.52,122.25,0.67,2.11,13.55,1807.64,4.15,4.64,14.74,0,0,13.19,0,0,0,0,0,15539.52,0,0,5.55,0,56.08
 72-82,0,9.73,0,31.44,16.2,0,1073.38,14.25,24.95,3.34,41220.83,5.31,0,3.46,1.17,0.57,14.12,1.35,2.56,0,153.96,0.61,10.3,12.4,812.78,0.55,3.07,6.32,0,0.72,12.12,0,0,0,0,0,3994.98,0,2.12,23.06,7.51,67.78
 84-94,0,0,0,46.1,2.01,0.92,823.79,0,0,0,31916.08,2.71,0,0.98,19.57,2.22,7.61,1.7,2.42,0.83,144.62,1.13,2.34,41.05,517.27,0,4.45,1.75,0,1.59,15.48,0,0,0,0,0,5036.29,13.32,1.25,25.92,1.64,12.94
 96-106,0,1.41,0,166.36,36,16.5,698.05,1.45,11.4,4.32,27453.68,5.12,0,0.76,5.85,1.23,0,2.33,52.79,0.58,92.09,3.12,3.45,10.29,860.27,0,2.26,1.99,0,5.8,77.66,0,0,0,0,0,2940.58,0.61,25.94,12.28,0,5.91
108-118,0,0,0,89.09,24.3,0,181.66,1.47,4.75,3.36,28547.18,1.99,0,0.61,0.62,0,0,0,8.28,0,113.03,0,4.01,14.21,554.87,0,1.97,1.81,0,0,21.86,0,0,0,10.63,0,1782.19,0.72,0.56,24.71,3.28,5.35
120,0,0,0,40.88,4.33,0,94.54,0,11.59,0,18168.93,2.59,0,0,31.28,0,0,4.13,0,0,23.85,1.59,0,6.09,248.82,3.65,0,3.71,0,0,2.82,0,0,0,0,0,1368.98,6,0,23.2,0,10.98
