stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.56,382.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.29,441.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.41,11.17,0,0,0,0,25.61,0,0,0,0,0,0,0
  7-9,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,0,0,9.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,4.47,0,0,9.99,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,1.63,0,0,0,0,0,0,5.51,0,0,0,0,0
 24-34,0,0,1.29,0,0,0.98,0,0,0,0,0,0,0,0,4.82,0,0,62.1,0,0.78,0,0,0,0,0,22.99,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.44,0,0,0,0,0,1.3,0,44.2,0,0,0,0,0
 48-58,0,0,0,5.88,0,23.13,0,0,19.38,0,0,0,0,0,3.97,2.6,0,386.28,0,0.94,0,0,0,0,0,60.97,0,0,1.09,0,0.63
 60-70,0,0,0,0,0,45.41,0,0,37.96,0.63,0,0,4.2,0,3.88,5.34,0.6,602.8,0,0,0,0,2.69,3.71,0,32.92,0,0,0,0,0
 72-82,0,0,1.55,0,0.53,110.34,0.7,4.21,12.15,2.57,1.06,0,0,4.55,4.45,8.36,0.49,501.99,0,0,0,0,0,0,0,30.53,0,1.75,0,0,8.49
 84-94,0,0,2.88,0.6,0.83,70.91,0,0,10.13,0,0,0,0,1.37,15.96,11.3,0,391.83,2.31,1.9,0,0,0,6.7,0,24.66,0,0,0,0,4.41
 96-106,0,0,0,10.69,8.82,82.34,0,1.71,2.55,0,0.71,0.67,0,0,7.96,11.69,0.94,279.25,0,0,0,0,0,0.63,0,9.21,1.13,0,0,1.58,0
108-118,0,0,1.79,6.06,1.17,47.49,0,0,6.32,0.43,0,0,1.26,0,12.17,2.19,0,321.05,0,1.2,0.57,0,0,0,0,0.47,0,0,0,0,6.96
120,0,0,0,0,0,87.52,0,0,12.08,0,0,0,0,0,5.9,0,0,508.63,0,0,0,0,0,0,0,4.77,0,9.27,0,0,0
