stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,59.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.18,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.26,0,0,0,18.66,0,3.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,26.91,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.54,0,0,0,396.99,0,0,4.75,215.81,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,43.16,72.8,0,1.13,0,1.16,0,3.19,0,0,0,0,0,0,0,17.03,0,0,6.66,37.44,2.11,0,0.94,11.26,0,13.06,143.22,12.55,0.8,14.79,25.17,0,0,3.34,0,0
 24-34,0,0,0,32.85,1.09,0,0,0,5.06,28.39,1,0,0,0,0,0,0,0,99.98,0,0,38.9,29.6,3.86,1.53,1.16,0,0,8.89,0,0.78,0,31.64,23.16,0,0,5.31,0,3.29
 36-46,0,0,0,41.98,0,0,2.05,0,14.79,44.24,0,0,0.68,0,0.98,0,0,0,108.99,0,3.75,50.7,37.16,12.52,0,0,0,0,28.27,0,0,0,0,4.34,0,6.93,7.21,0,0
 48-58,0,0,0,29.89,1.58,0,9.76,0.58,10.05,54.85,2.6,0,3.81,0,0,3.7,0,0,199.87,0,9.03,58.82,56.13,6.03,0.86,0,0,0,1.73,0,0,4.15,0,4.52,0,1.19,10.95,0.65,4.41
 60-70,0,0,0,67.58,5.57,0,22.79,0,43.92,57.83,0.79,0,9.64,0,0,0,0,0,442.71,1.53,6.97,58.66,38.78,14.87,0,1.58,0,22.08,0,0,0,0,0,3.01,0,5.16,9.54,1.34,3.97
 72-82,0,0,0,29.39,0,0,12.26,1.35,14.07,52.94,11.64,0,5.91,0.63,3.39,0,0,6.97,453.9,0,22.57,34.2,69.34,0,0.74,0.52,0,56.57,1.54,0,0,0,0,1.17,0,29.27,17.09,7.35,0
 84-94,0,0,0,39.65,0,0,14.44,0,24.18,82.57,9.68,0,5.36,0.83,0,0,0,0.82,473.9,0.97,32.18,30.55,16.14,4.94,2.19,2.56,0,20.68,1.75,0,1.4,0,0,11.31,0.62,12.14,16.51,5.22,0
 96-106,0,0,0,19.69,0,0,15.38,2.15,16.33,44.4,4.02,0,1.41,0,0,0,0,7.43,370.95,0,34.68,28.82,45.58,0.57,0,5.28,0,79.41,0.73,0,0,0.68,0,6.3,0,46.72,10.51,3.59,0
108-118,0,0,0.49,33.14,2.76,0.7,8.06,3.26,38.65,71.95,6.73,1.91,0.78,0,13.93,0.99,0,0,297.19,0,38.6,21.62,42.86,0.55,0,0.43,0,114.04,2.54,0,0,0,0,0.44,0,14.03,15.23,3.24,0
120,0,0,0,18.5,0,0,14.55,14.23,31.48,49.86,0,0,1.61,1.51,4.17,0,3.84,8.38,358.16,0,22.18,19.93,49.4,0,0,0,0,243.55,2.25,0,0,0,0,0,0,80.56,24.36,7.96,0
