stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,xanthophores
  5-6,54.01,0,0,0,0,0,0,0,0,7.66,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,26.06,3.95,0,0,0
 10-12,0,9.95,0,0,9.24,0,0,0,0,9.96,8.04,5.3,0,0
 14-21,0,0,0.85,0.86,1.15,0,0,0,0,7.75,0,0,1.28,0
 24-34,0,0,0,0,0,0,0,0,2.19,4.42,0,0,2.29,0
 36-46,0,0,0,0,0,0,0,0,0,2.69,0,0,1.4,0
 48-58,0,0,0,0,0.65,0,0.95,1.14,0,3.58,0,0,0,0
 60-70,0,0,0,0,4.64,0,0,0,0,3.5,0,0,0,1.82
 72-82,0,0,0,0,0.6,0,0,0,0,2.53,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0.72
108-118,0,0,0,0,1.67,0.8,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0
