stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,47.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0
  7-9,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,5.12,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,21.7,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,7.42,22.03,0,19.87,0,0,3.78,0,0,1.27,0,0
 36-46,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,127.85,0,153.77,0,0,0,0,0,5.62,0,0
 48-58,0,0,0,0,0,41.01,0,0,13.76,0,0,0,0,0,0,5.78,0,0,652.2,0,0,0,0,0,0,0,1.24,0,18.04
 60-70,0,0,0.94,0,0,6.55,0,0,1,11.58,0,0,0,0,0,0.99,0,0,909.24,0,0,15.97,0,0,0,0,4.04,0,0
 72-82,0,0,0,0,0,17.09,1.57,7,0.68,0,0,0,0,0,0,18.74,6.51,0,901.73,0,4.7,0,0,0,0,0,4.7,0.68,7
 84-94,0,0,0.67,15.36,0.89,11.06,0,0,10.97,0,0,0,0.6,0,1.74,5.71,0,1.11,38.08,0.62,1.16,0,0,12.58,0,0,9.17,0,0
 96-106,0,0,1.59,0,0,19.23,0,0,0,0,0,0.74,0,0,0.73,21.44,0,0,17.18,0,1.76,0,0,0,0,0.8,1.9,0,0
108-118,0,0,1.57,1.92,0,9.41,0,0,10.8,0,0,0,0.81,0.53,0,14.77,0,0,1976.7,0.45,0,0.41,0,6.65,1.48,0,0,1.62,3.89
120,0,0,0,0,0,11.81,1.42,0,12.36,0,0,0,4.01,0,0,22.65,0,53.77,6098.53,0,0,0,0,1.05,0,0,1.53,0,0
