stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,108.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0
  5-6,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0.82,0,0,2.01,0,0
 24-34,0,0,0,0,0,3.38,0,0,0,0,1.84,2.04,0,0,0,0,0,0,0,10.6,0,0,0.64,0,5.55,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,1.42,1.17,0,0,11.94,0.73,0.56,1.2,0.86,2.26,0,0
 48-58,0,0,0,0,0,3.29,0,3.99,0.86,0.48,10.14,0,0,0,0,1.25,0,0,0,8.64,0.87,0,5.38,0,2.63,0,0
 60-70,0,0,0,0,0,2.68,0,1.51,5.54,0,15.78,0,0,2.2,0,0,0,6.79,0,13.24,0,0,0,0,4.17,0,0
 72-82,0,0,1.43,0,0,13.6,0,1.4,16.12,0,13.81,0.55,0,1.04,0,3.62,0,0,0,12.94,0,0.99,0,0,5.54,0,3.89
 84-94,0,0,0,0.99,0,6.87,0,1.53,18.61,0,19.57,0,0,0,0,0.85,0,0,0,1.32,0,0.61,0.71,0,5.36,0.57,1.73
 96-106,0,0,2.38,0,3.76,11.4,8.48,2.4,84.65,0,12.33,0.91,0,0,3.91,1.47,0,0,1.26,24.75,0,0.57,1.6,0,22.51,0,0
108-118,0,0,0,0.92,6.83,26.07,0,3.11,87.07,0,26.98,1.16,2.25,0,0,2.57,0,0.97,0,23.36,0,1.35,2.57,0.43,0,0,2.81
120,2.37,0,0,0,0,16.61,0,1.14,92,0,13.24,0,0,0,0,0,0,0,0,73.28,0,0,4.47,0,0,0,3.67
