stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,72.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,7.65,0,3.37,0,0,0,0,0,0,0
 10-12,0,8.27,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,16.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.37,0,1.33,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,30.44,99.15,0,0,0,0,5.19,0.84,1.27,22.34,0,0,0,0
 24-34,0,0,0,10.84,0,5.67,0,0,0,0,0,0,0,0,0,0,0,3.67,0,1.85,217.84,161.2,4.66,1.81,0,0,8.27,0,0,74.23,0,0,0,4.75
 36-46,0,0,1.55,2,0,8.03,0,0,0,0.76,0,0,0,0,0,0,0,11.64,0,12.36,553.33,131.13,10.8,0,0,0,5.61,0,0,163,0,0.68,0,23.86
 48-58,0,0,0,4.87,0,20.09,0,0,0,4.93,0,0,0,0,0,1.59,0.48,19.1,0,0.58,829.46,126.4,24.89,4.17,0,3.8,0,0,0,112.4,0,0.72,0,13.2
 60-70,0.81,0,1.36,0,2.47,38.59,0,0,0,8.16,0,1.29,0,6.5,0,1.05,0,39.82,2.01,0,1319.44,29.85,23.9,2.91,0,0,0.68,0,0,95.46,2.46,1.67,0,3.35
 72-82,0,0,0,4.7,0,69.12,0,0,0,10.16,0,0,0,0,0,1.86,0,74.56,8.4,1.63,1785.07,10.67,28.47,8.61,0,0,1.16,0,0,75.32,0.61,0.64,3.96,12.31
 84-94,0,0,0,12.31,1.36,97.54,1.45,0.65,0,7.17,0,0,0.67,1,0.58,5.05,0,74.99,29.33,0,889.15,30.4,26.62,9.76,0,0,2.16,0,0,49.65,4.63,0,16.74,0
 96-106,0,0,0,5.42,0,112.35,0,7.66,0.84,27.39,2.76,0,1.14,0,0,0,2.25,101.59,15.71,11.05,1033.65,9.85,48.63,9.3,0,10.37,0.7,0,0,22.81,3.16,0,25.87,0
108-118,0,0,0,4.08,0,114.47,1.12,0,2.38,11.06,0,0,0,0.82,0.99,1.02,0,71.85,21.54,1.73,1142.34,12.76,32.75,20.1,0,0,0,0,0,39.48,2.31,0,19.74,0
120,0,0,0,2.46,4.98,115.21,0,0,0,43.41,1.55,0,4.26,1.59,0,1.57,0,116.05,7.92,0,1695.93,12.31,43.18,15.4,0,0,0,0,0,22.46,3.24,17.71,71.1,0
