stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,266.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,258.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.05,0,0,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.28,0,0.8,0,0,0,1.08,0,0,0,0,0,0,0,0,0.61,0,0,0,14.81,0,0.63,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0
 36-46,0,0,0,0,2.62,0,0,2.33,82.6,0,0,2.75,0,0,2.2,0,0,0,0,0,2.6,0,0,2.08,14.2,0,0,0,0,0,1.75,0,0,11.81,0,2.89,0,0,0,0,0
 48-58,0,0,0,0,0.39,0.39,0,63.29,463.52,0,5.09,16.61,0,0,1.93,0,0,0,0,1.95,20.48,0,0,30.24,179.65,0,0,0.41,0,0.61,4.99,0,0,21.2,0,27.19,0,0,1.02,0,4.33
 60-70,0,0,0,0,8.27,0.67,0,87.26,732.68,7.32,3.61,37.04,1.59,0.93,0,0.86,13.51,0.59,0,0,26.99,0,0,31.57,265.2,8.73,0,0,0,0,25.96,0,1.38,53.66,0,32.34,0,0,4.19,0,9.67
 72-82,0,0,0.98,0,8.74,2.67,0,135.58,609.75,4.63,2.08,12.22,1.91,1.7,2.32,0,5.22,0,0,6.45,46.73,0.83,1.04,24.82,229.76,0.52,0,6.44,0,0,16.77,0,0,39.62,0,36.6,3.84,0.5,18.05,0,3.58
 84-94,0,0,0,0,4.35,29.09,0,173.12,977.13,9.25,2.85,20.69,3.67,0,7.64,3.16,0.93,0,6.69,2.58,71.28,0,0,47.94,228.35,0,11.61,4.54,0,1.53,29.08,0,0,73.89,0,13.97,0.66,3.51,22.79,0,0
 96-106,0,0,1.82,0,25.49,45.29,8.11,284.52,1847.38,11.34,0.76,67.98,7.54,2.39,15.2,2.47,5.14,8.93,41.44,0,186.94,4.51,2.81,72.19,449.08,0,2.4,14.53,2.41,7.93,72,0,0,90.61,0,14.73,0,3.28,23.93,8.75,34.2
108-118,0,0,0.8,0,27.63,19.58,0.9,293.5,1793.07,6.23,3.51,49.51,2.73,0.92,6.39,3.38,1.13,1.68,15.84,8.49,114.6,5.49,1.77,177.52,433.03,3.21,4.7,6.52,0,4.63,29.71,0,0,74.29,0,13.22,0,3.84,11.24,6.32,3.17
120,0,0,0,0,32.73,38.45,1.6,215.62,1372.15,4,17.16,53.88,3.7,0,29.16,0,10.87,1.77,1.84,0,66.43,1.15,0,88.97,484.75,2,2.47,6.43,0,0,32.51,0,4.48,71.99,0,32.91,0,0,0,0,4.74
