stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
  5-6,0,26.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.76,0,0,0,0,0,0,0,0,0
  7-9,158.26,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,819.2,0,0,8.13,13.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,20.58,0,11.1,0,7.42,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,508.3,8937.45,0,0,207.2,0,0,38.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.49,3.49,0,1.67,0,0,0,2.31,0,30.63,0,0,2.46,0,0,3.37,9.8,0,13.47,81.4,14097.62,0,1.78,0,0.99,4.75,0.85,0,22.14,394.66,0,0,0,0
 24-34,0,0,0,0,0,1.18,0,0.66,0,1.43,2.42,1.4,0,0,0.81,0,0,0,0,0.94,7,0,0.82,30.4,1170.64,0,0,0,2.73,0,0,0,1.25,307.1,0,0,0.86,0
 36-46,0,0,0,0,0,0,0,0.79,0,2.39,0,0,0,0,0,0,0,0,0,0,57.05,0,0,6.74,343.24,0,0,0,0,0,0,0,0,30.78,0,0,2.18,0
 48-58,0,0,0,0,1.63,2.15,0,6.37,0,0.46,0,1.65,0,0,0,0,0,0,0,0.48,556.04,0,0,42.32,41.6,0,0,0,0,0,0,0,0,9.37,0,0,0,0
 60-70,0,0,0,0,7.95,0.59,0,3.41,0.71,1.25,0,3.72,0,0,0.66,0,0,0,0,0.68,1274.79,0,11.58,13.72,2.13,0,0,0,0,0,0,0,0,4.35,0,0,0,0
 72-82,0,0,0,0,16.21,1.18,0,32.12,2.99,1.35,0,2.75,0,0,0,0,0,0,0,0.69,2471.89,0,0.8,27.48,0,2.82,0,0,1.54,0,0,0,0,2.29,1.36,0,4.15,0
 84-94,0,0,0,0,10.38,0,1.06,99.18,0,0.78,0,11.73,0,0,0,0,2.84,9.96,0,0,2343.23,0.74,2.72,122.86,0,0,0,0,0,0,1.84,0,0,4.95,0.62,1.04,2.69,3.28
 96-106,0,0,0.95,0,12.35,0,1.23,24.2,1.35,0.61,0,11.24,0,0,0,3.94,2.72,0,0,0,1496.46,0,0,16.59,3.52,0,0,0,9.23,0,0,0,0,8.06,0,0,1.21,0
108-118,0,0,0,0,9.07,0,0,31.09,0,3.58,0,6.12,0,0,0,14.64,0,0,0.8,8.14,1060.99,0,0,4.9,4.3,0,1.97,0,0.55,0,0,0.53,0,0,0,0,0.84,0
120,0,0,0,0,21.98,0,0,0,0,2.65,0,2.12,1.47,0,0,3.52,0,0,0,0,927.85,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
