stage,epidermis,eye,heart,mesenchyme,neural,spinal.cord
 14-21,0,0,0,0.93,0,0
 24-34,0,0.77,0,0,2.8,1.06
 36-46,0,0,0,0,0.59,0
 48-58,0,0,0.61,0,11.53,0
 60-70,0,0,0,1.12,0,0
 72-82,0,0.8,0,0,1.52,0
 84-94,0,0,0,8.42,0,0
108-118,4.11,0,0,0,0,0
