stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.31,1213.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0
  5-6,26.19,875.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.85,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.52,24.87,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.32,0,0,0,31.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,20.57,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.17,4.28,0,0,53.01,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,10.58,1.19,0,3.1,0,0,0,4.54,0,2.21,0,0,0,0,0,0,3.15,0,0,2.62,90.53,0.94,0,0,2.75,2.12,8.27,0,0,3.74,44.91,0,0,1.01,0,0
 24-34,0,0,2.09,0,8.09,1.4,0,17.42,0,0.72,0.67,6.11,0,1.77,0.71,0,0,2.75,1.95,0,25.21,0,0,3.81,206.75,1.36,5.72,1.96,0,1.15,0,0,1,1.25,54.79,0,0,29.89,0,0
 36-46,0,0,0,0,2.37,0,0,30.37,0,0.93,0.87,1.97,0,0,0,0,0,1.36,0,12.92,19.92,0,0,5.58,228.89,2.79,14.9,0,0,5.13,0,1.36,0,2.35,36.21,0,0,5.81,0,0
 48-58,0,0,0,0,2.65,4.71,0,75.02,3.41,0,0.42,19.72,0,1.26,0,0.49,0,0,0,4.9,40.26,0,0.39,2.42,196.68,0,3.4,1.63,0,0.46,0,0,0.68,0,39.27,0,0,0.61,0,1.02
 60-70,0,0,0,0,2.96,0,0,126.93,3.87,0,1.44,24.38,1.58,0.93,0,0,0,0,0,0.93,39.07,0,2.47,0.62,224.33,0,1.17,2.83,0,4.27,0,3.39,0,0,25.55,2.13,0.9,0,0,0
 72-82,0,0,0.88,0,3.79,4.28,0,107.16,0,0.58,2.1,33.29,0,1.27,0,0.55,0.98,0.72,0.78,0,42,0,0.88,1.34,131.6,0,3.18,5.32,0,3.32,0,0,0,0,11.8,0,0,7.91,2.18,1.16
 84-94,0,0,0,0,2.05,0,1.24,70.42,0,1.88,2.18,16.67,2.01,1.84,0,1.25,0,1.89,0,2.81,46.8,4.44,7.42,4.68,143.71,0.73,0.93,4.05,0,17.51,0,0,0,0,5.49,0.71,0,5.54,2.69,2.81
 96-106,0,0,1.06,0,5.22,3.61,0,83.48,0,0,0,11.87,0,0.88,0.64,0.93,1.8,2.05,0,0,64.17,0,2.5,1.13,70.44,2.22,3.54,5.2,0,13.3,0,0,0,0,5.1,3.78,0,9.44,0.61,9.11
108-118,0,0,0,0,5.21,0,1.51,79.95,1.03,1.71,0,27.9,1.88,0,0,0.49,1.56,4.42,1.33,4.13,14.11,0,0,9.42,84.64,0.69,5.57,5.18,0,2.9,0,0,0.43,0,7.47,0.51,0,7.66,0.55,0
120,0,0,0,0,5.3,0,0,43.85,1.33,2.56,0,32.99,4.08,0,0,0,11.36,2.11,1.28,0,37.79,0,0,2.44,130.67,3.99,2.43,9.44,0,2.27,0,0,0,0,10.59,0,0,1.33,7.69,0
