stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,0,248.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0
  5-6,32.87,504.28,6.55,0,0,0,0,0,0,0,0,0,0,36.08,0,0,0,7.49,0,0
  7-9,11.1,4.72,4.33,0,0,23.78,0,0,11.12,0,0,0,0,239.96,0,0,54.39,0,0,0
 10-12,0,0,5.45,0,4.69,0,0,0,0,0,0,0,0,87.35,3.88,0,9.53,0,0,0
 14-21,0,0,0.98,0,0,0.81,0,0,0,0,0,0,0,2.17,0,0,0,0,0.85,4.04
 24-34,0,0,0,0,0,3.45,0,0,0,0,0.63,0,0,19.66,0,0,0,0,0,3.67
 36-46,0,0,0,0,0,1.68,1.52,0,0,0,0,0,0,9.57,0,0,0,0,0,0
 48-58,0,0,0,0,0,5.56,8.8,0.58,0,0,0.76,0,0.38,6.69,0,0,0,0,0,1.72
 60-70,0,0,0,0,0,5.66,2.69,0,0,0,2.23,0,0.58,4.66,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.2,0,0,0,0,7.66,0.49,0,12.09,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.42,0,0,0,0,0,0,2.33,0,0.88,0,0,0,2.12
 96-106,0,0,0,0,0,0,0,0,0,0,2.48,0,1.18,3.19,0,0,0,0,0,0
108-118,0,0,0,1.29,0,0.95,0,0,0,0,6.9,0,0,2.7,0,0,0,0,0,0
120,0,0,0,1.08,0,2.99,0,0,0,4.51,0,0,0,7.77,0,0,0,0,0,0
