stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.07,72.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.33,153.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.23,3.96,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.12,3.12,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.7,2.24,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,5.15,6.05,0,0,0,0,0.84,2.14,4.94,0,0.86,7.99,0,0,1.2,0,0
 24-34,0,0,0,0,1.18,0.66,0,2.11,0,0,0,0,0,0,0,0.63,0,0,0,2.53,1.57,0,0,1.69,53.62,0,0,0,0,0,3.59,0,2.55,0,1.59,17.07,0,0,2.72,0,0
 36-46,0,0,1.72,0,3.46,0,0,4.74,0,2.83,0,0,0.56,0.63,1.38,0,0,0,0,0,3.62,0,0,0,88.51,6.51,2.21,0,0,0,0,0,17.5,3.94,0,18.42,0,0,5.39,0,1.52
 48-58,0,0,0,0,1.74,0,0,27.99,0,0.54,0,9.42,0,0,0,1.82,3.15,0,0,0,18.57,0.7,0,0,217.81,0.46,2.49,1.22,0,0,6.13,0,9.37,0,0,30.28,0,0,0,0,0
 60-70,0,0,0.7,0,17.1,6.06,0,81.11,0,0,0,11.76,0,0.58,15.4,0,0,0,0,0,33.56,0,0,0.6,224.35,0.66,3.24,1.25,0,0,4.36,0,3.47,0,0,24.7,0.84,1.2,2.87,0,0.96
 72-82,0,0,0,0,0,6.1,0,144.41,0,0.75,2.57,32.44,3.23,1.72,16.82,0,3.32,0,3.36,0,51.61,1.05,2.76,2.36,229.09,0,7.16,1.81,0,2.3,3.22,0,7.73,0,0,11.71,1.47,1.92,16.51,5.06,13.25
 84-94,0,0,6.26,0,6.17,3.38,0,89.01,0,0.63,0,29.29,2.89,0,9.71,0,0.79,0.59,11.45,2.32,49.04,2.21,2.26,0.58,171.13,0,0,6.71,0,0,30.68,0,22.55,0.62,0,16.15,3.4,1.23,18.62,0,0
 96-106,0,0,3.52,0,3.14,4.41,0,141.04,0,14.69,0,20.72,4.07,0,26.84,5.41,1.98,0,10.57,0.69,30,0,0,0,136.35,0,7.63,2.73,0,0,29.91,0,24.3,0,0,1.07,0,3.27,14.48,0.93,0
108-118,0,0,0.93,1.06,19.45,12.18,4.41,158.05,0.52,2.48,2.99,28.56,8.13,0,23.8,0.48,2.89,0,25.32,0,39.31,0.8,11.83,1.15,169.52,2.25,4.64,4.16,0,7.43,26.03,0,24.33,1.37,0,13.97,4.96,0.53,15.43,0,5.66
120,0,0,6.65,0,12.7,0,5.33,90.67,0,8.5,1.44,23.56,15.89,6.41,48.17,0,0,8.05,37.52,0,59.83,0,5.04,2.12,439.16,0,2.49,0,0,7.72,31.79,0,31.6,0,0,13.32,0,1.52,22.02,5.15,0
