stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,35.27,512.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.63,170.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.94,0,0,19.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,5.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.15,0,1.4,0,0,0,0,0,0.81,8.39,0,0,0,0,0,0,1.92,0,0,14.26,12.68,0,0,0.81,0,0,1.13,0,485.28,120.5,7.78,0,0,0
 24-34,0,0,2.94,0,2.52,211.85,0,1.06,0.94,0,0,13.93,1.47,0,0,0,0,0,6.03,0,0,28.03,93.27,3.79,0,0,0,1.44,0,0,126.47,125,5.6,0,2.98,1.93
 36-46,0,0,0,0,4.15,429.27,0,0,1.24,0,0,1.45,3.12,0,1.88,0,1.55,0,15.78,0,0,34.71,85.88,6.12,0,0,0,12.83,0,0,18.09,12.04,21.82,0,0,1.54
 48-58,0,0,1.16,0,32.57,361.81,0,4.15,4.78,0,0,0,0,0,0,0,2.56,0.64,8.99,0,0,32.5,149.42,0.85,0.53,0,0,0,0,0.38,0.81,0,23.9,0,2.84,9.33
 60-70,0,0,0,0.77,22.22,189.94,0.65,0,7.12,0,0,0,0,0,0,0,0,0,10.27,0,0,25.77,81.69,0,3.26,0,0,7.99,0,0,0,0,12.93,0,0,7.51
 72-82,0,0,0,0,42.33,142.42,0,5.21,1.59,0,0,0,0,0,0,0,3.06,0,16.06,1.79,1.41,12.82,109.12,3.08,0,0,2.81,0.87,0,0,0,0,4.85,0.99,1.71,0
 84-94,0,0,5.6,0,19.79,211.52,0,0,0,0.81,0,0,0,0,0,0,0.59,0.96,9.71,0,0,19.73,61.69,0,0,0,0,11.14,0,0.8,1.03,0,17.24,0,6.16,1.05
 96-106,0,0,2.55,0,28.67,245.05,0,1.07,7.69,1.73,1.32,0,0,0.86,1.03,1.34,0,0,22.12,0,0,10.42,67.55,0.66,0.85,0,0,9.66,0,0,0,0,12.39,0,3.16,0
108-118,0,0,5.97,8.83,50.92,143.63,0,1.91,0.41,0,0,0,1.95,0.44,1.92,0,0,0,16.79,0,0,16.35,92.72,0,0,0,0,3.38,0,0.94,0.99,0,0,0,0,0.98
120,0,0,6.55,0,22.31,86.81,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,0,35.22,48.81,2,0,0,0,0,0,0,0,0,0,0,0,0
