stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,68.96,18.54,0,0,0,0,0,0,0,0,0,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,50.86,0,0,0,0,0,0,0,0,0,0,0,88.09,0,0,0,0,0,0,0,0,0,22.73,26.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.76,0,281.47,0,114.81,0,17.23,0,0,0,0,19.18,0,0,0,0,0,0,0,0,0,179.5,91.18,0,0,56.91,0,0,0,4.19,329.28,0,0,0,0,0
 14-21,0,4.07,0,15.42,77.9,761.44,0,1.67,0,0,0.87,289.75,4.04,1.11,0,0,0,0,765.48,0,0,276.47,184.21,37.46,0,1.05,18.73,0,1.01,0,31.11,3,19.5,46.56,0,12.46,0
 24-34,0,0,0,0.7,13.14,12.66,0,1.14,0,10,0,0,0,5.95,0,0,16.86,3.4,168.11,0,2.43,31.52,30.9,0,0,3.81,0,0.99,0,0,0,0,0.94,1.63,0,28.13,0
 36-46,0,0,0,0,5.87,4.4,0,1.7,0,4.58,0.69,0,0,4.44,0,0,8.61,0,64.91,0,0,9.54,41.01,0,0.7,5.99,0,0,0,0.65,0,0,0,2.65,0.85,12.39,0
 48-58,0,0,0,0,1.23,0.45,0,2.87,4.29,8.2,0,1.98,0,4.59,0,0,12.34,2.1,32.04,0,0.56,1.87,12.54,0,0,7.55,0,0,0,0,0,1.06,0,0.66,0.37,9.73,0
 60-70,0,0,0,0,1.26,0,0,0,0.86,2.69,0,0.59,0,4.06,0,0,18.84,0,35.53,0,0,0.67,5.99,0,0,7.84,0,0,0,0,0,0,0,0,3.08,2.98,0
 72-82,0,0,0,0,2.04,0,0,2.11,0,7.39,1.64,2.92,0,3.15,0,0,42.27,0,25.96,0,0,0,11.71,0,0,13.29,0,0,0,0,0,0,0,0,3.98,13.9,0
 84-94,0,0,3.75,0,1.03,0,0.76,13.23,0,2.62,1.75,1.25,0,5.58,0,0,26.74,0,22.84,0,0,0,5.5,0,0,9.43,0,0,0,0,0,0,0,0,0.71,15.47,0
 96-106,0,0,4.2,0,0,8.48,0,0.84,0,16.54,0,3.66,0,8.4,0.65,0,89.02,0,44.81,0,0,0.67,4.64,0,0,27.76,0,0,1.35,0,0,0,0,0,0.62,13.82,1.76
108-118,0,0,6.19,0,1.32,0,0,0,0,6,1.68,0.49,0,0,0,0,63.43,3,57.66,1.08,1.05,1.71,16.07,0,0.56,49.75,0,0,0.44,0,0,0,0,1.2,0.57,12.03,0
120,0,0,1.37,0,10.48,1.54,0,0,0,0,19.57,0,0,6.47,0,6.51,60.89,0,42.38,0,0,0,22.38,0,0,18.35,0,0,2.81,0,0,0,0,0,0,21.07,0
