stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,3.6,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.87,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,2.53,0,0,0
 60-70,0,0.83,0,3.78,0.8,0,0,0.9,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.34,0,0,0,0,1.5,0,0,0.97,0,0,1.96,0,0,0
 84-94,0,0,0,1.9,0,0,0,0,0,2.13,0,0,0,0,1.13,0,0,0
 96-106,0,0.92,3.54,0,0.57,0,1.09,0,0,0,0,3.75,0.68,0,2.6,0,0,0
108-118,4.14,0,0.83,0,0,0.43,1.74,0,1.87,0,2.13,0,0,0,0,0.47,0,1.03
120,0,0,0,0,0,0,3.59,3.06,0,0,1.08,0,0,0,5.23,0,0,1.08
