stage,epidermis,erythrocytes,eye,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,4.06,4.01,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.89,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.01,0,0,0
 36-46,0,0,0.62,0,0,0,0,0,0,0,0,0,0
 48-58,0,1.25,0.8,0,0,0.87,0,0,0,0,0,0,0
 60-70,0,2.72,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,9.14,0,3.76,0.5,0,0,0.81,0.69,0.95,0,0,3.97
 84-94,0,16.37,0,0,0,0,4.89,0,0,1.82,0,0,0
 96-106,1.32,12.73,0,0,0,0,2.76,0,0,3.89,0,0,0
108-118,0,6.57,0,0,0,4.61,0,0,0,0,0,3.19,0
120,0,16.12,0,0,0,0,0,0,0,0,0,0,0
