stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,0,0,6.14,0,0,0,0,0,0,0
 14-21,1.13,2.07,0,0,0,0,0,0,0,0,0,0,0.83,0,2.23,14.2,0,0,0,0,1.21,0,4.05,9.18,3.84,0,0,0,0
 24-34,0.75,0,0,0,2.88,0,0,3.81,0,0,0,0,0,0,0.83,160.14,0.97,0,0,0,0,0,0,2.24,23.01,0,0,0,0
 36-46,0,0,0,0,2.11,0,0.94,20.18,0,1.3,0,1.59,0.94,0,0,418.02,2.62,0,0,0,0,0,0,0,46.23,0,0,0,0
 48-58,0,0,0.84,0.5,47.93,0,0.83,71.35,0,0,0,0,1.86,0,0,539.79,0.64,0.39,0,0,0,0,0,0,31.36,0,0,0,0
 60-70,0,0,0,0,98,0,7.26,59.98,0,0,0,0,2.7,0,0.82,593.8,0,0,0,0,0,0,0,0,21.66,0,0,0,0
 72-82,0,0,3.24,0,142.07,0,0.84,58.53,0,0,0,0,5.36,0,0,818.67,1.37,0,0,0,0,0,0,0,13.58,1.58,0,3.98,1.14
 84-94,0,0,0,0,104.72,0,0,43.11,0,2.29,0,0,12.22,3.31,0,504.17,0.64,0,0,0,0,0,0,0,11.91,0,0,0.55,0
 96-106,0,0,2.67,0,92.22,0,0,47.3,0.88,0,1.59,0,4.21,0,1.34,376.42,1.81,0,0,2.78,0,0,0,0,9.67,0,1.21,0,1.22
108-118,0,0,5.31,0.66,130.66,0,0,30.02,0,1.5,0,0,4.25,0,0,582.09,1.43,0,0,0.86,0,0,0,0,4.94,0,0,0,0
120,0,0,0,1.39,131.22,10.7,0,17.48,0,2.04,0,0,0,0,0,572.78,0,2.28,0,0,0,0,0,0,14.99,0,0,0,0
