stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,10.18,257.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.69,338.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,42.35,0,22.81,0,0,33.22,0,0,0,0,12.95,0,0,0,0,0,0,0,0,311.94,24.44,0,0,121.34,0,0,0,0,0,0,0
 10-12,0,14.13,0,19.3,0,6.14,23.82,0,0,0,0,10.99,0,0,0,0,0,0,0,0,410.29,22.29,0,0,127.83,0,0,26.03,0,0,0,0
 14-21,0,0,0,0,7.25,0,1.4,0,0,0,0,0,0,0,0.86,0.92,0,1.04,0,0,18.4,0,0,0,0,6.13,3.01,0,3.14,2.03,1.09,0
 24-34,0,0,0.75,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,1.53,0,0.64,16.67,0,0,0,0,0.74,0,0.94,3.68,5.27,1.53,0
 36-46,0,0,0,0,1.95,0,3.37,0,0,0,0,0,1.87,0,0,0,0,0,0,0,13.46,0,0,1.82,0,0,0,0,0,3.65,0,0
 48-58,0,0,0,0,0,0,8.68,0,0,0.47,0,0,0,0,0,0,0,3.69,0,0,26.39,0,0,0,0,5.83,0,0,0,8.14,0,0
 60-70,0,0,0,0,0,0,19.62,0,0,2.46,0,0,0,0,0,0,0.88,1.28,0,1.13,10.74,0,0,0.57,0,1.71,0,0,0,0.72,0,0
 72-82,0,0,0,0,0,0,9.82,0,0,0.74,0,0,0,0,0,0,0,0.72,0,0,19.04,0,1.22,2.12,0,0.75,0,0,0,3.41,0.96,0
 84-94,0,0,0,0,0,0,24.86,0,0,0.55,0,0,0,0,0,0.61,0,2.95,0.72,0,18.88,0,0,0,0,2.6,0,0,0,2.01,0,4.62
 96-106,0,0,0,0,0.62,0,32,0,0,0,0.56,0,0,4.45,0,0,0,1.99,0,0,12.59,0,0,0,0,0,0,0,0,3.7,1.16,0
108-118,0,0,0,0,0,0,5.01,0.48,0,0,0,0,0,0,0,0,0,1.4,0,0,10.28,0,0.42,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.3,0,11.83,0,1.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0
