stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,4.82,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,0,3.04,0,0,7.07,0,0,0,0
 14-21,0,2.27,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.86,0,1.36,4.33,0,0,0,0,0,1.93,0,0,0
 24-34,0,0.72,0,1.07,0,0,0,0,0,0.85,0,0,0,0,0,0.83,0,0,57.26,3.68,0,4.58,0,0,31.63,0,0,0
 36-46,0,0,0,2.14,0,1.15,0,4.38,0,0,0,0,0,0,0,1.13,0,0,292.24,17.68,0,0,0,0,50.25,0,0,0
 48-58,0,2.64,0,15,0.37,0,0,1.38,0,0.63,0,0,0,0,0,13.74,0,0.99,241.64,13.69,0,6.52,0,0,48.11,0,0,4.67
 60-70,0,0,0,52.37,0,0,0,1.4,0,0,0,0,0,0,0,0.65,0,0,375.16,7.96,0,0,0,0,88.48,0,2.89,0
 72-82,0,1.26,0,52.17,0,0,0.94,14.38,0.56,0,3.79,0.5,2.2,0,0,7.65,0,0,500.52,13.57,0,0,0,0,60.87,0,1.06,6.76
 84-94,0,0.56,0,60.06,0,0,0,2.89,0.71,0,0,0,0,0,0,0,0,0,406.15,1.45,0,2.45,0,0,36.28,0,1.2,0
 96-106,0,1.62,0,79.98,0,1.49,0,5.41,0,0,2.15,0.65,1.03,1.04,0,6.45,0,0,454.81,23.76,0,0,0,0,19.03,0,0,0
108-118,0,6.54,2.79,56.28,0,0,0,12.03,0,0,0,1.27,0.53,0.63,2.95,0,0.53,0.9,649.48,8.28,0,0,0,0,37.38,2.06,1.07,0
120,0,4.92,0,57.06,0,0,0,11.73,0,0,0,0,0,0,18.25,9.72,1.49,0,609.74,16.45,0,0,1.53,0,76.39,0,0,0
