stage,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,13.58,7.31,0,0,0
 14-21,0.81,1.03,0,0,0,0,0,0,0,1.08,0,0,0.89,0.85
 24-34,0.82,0.66,0,0,0,0,0,0,0,4.98,0,0,0,2.86
 36-46,0,0,0,0,0,0,0,0.82,0,10.82,0,0,0,8.7
 48-58,3.03,2.61,0,0,0,0,0,0,0.54,4.5,0,0,0,0.7
 60-70,0,10.55,0,0,0,0,0,1.1,0,3.53,0,0,0,0
 72-82,0.71,1.43,0,0.64,0,0,1.15,0.83,0,6.2,0,0,0,0
 84-94,0,2.22,1.14,0,0,0,0,2.55,0,1.82,0,0,0,0
 96-106,0,13.97,0,0,0.71,0,0,0,0,0.61,0,0,0,0
108-118,0,0,0,0,0,0.64,0,2.35,0,4.81,0,0.87,0,0
120,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0
