stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67,0,0,6.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0.97,0,0,0,0,1.56,0,0,1.29,18.12,0,0,0,0,0,1.84,38.33,0,0,1.77,0
 24-34,0,1.59,1.89,3.43,0,0.85,0,0.95,0,0.81,0,0,0,0,7.86,0,0,17,144,2.3,0,0,0,0,0,57.37,0,0,5.62,0
 36-46,0,0,0,9.44,0,0,0,0,0,0,0,0,0,12.1,21.03,0,0.86,4.41,317.56,0,0,0,0,0,0,58.4,0,0,7.17,0
 48-58,0,3.38,0,48.19,0,17.69,0,0,0,0,0,0.47,0,0,20.19,0,0,1.23,549.61,0,1.3,0,0,3.08,0,85.75,0,0,0,0
 60-70,1.1,2.68,0,101.88,0,23.6,0,0,7.02,9.17,0,0,0,0,11.72,0,0.77,1.02,983.38,0,1.67,0,0,0,0,135.23,0,0,3.05,0
 72-82,2.12,3.07,0.56,116.4,0,18.4,1.76,0,3.55,0,0.64,0,0,0,17.15,0,0,1.42,941.07,0.93,1.07,0,0,2.35,0,93.46,1.64,0,0.49,0
 84-94,0,4.58,6.6,107.56,0.66,17.11,0,0,2.51,0,1.67,0,0,0,17.65,0,2.44,1.55,634.22,0,0,0,0,1.23,0,62.21,0,0,0,0
 96-106,0.81,8.5,7.24,102.09,0,19.97,0,0,0,0,0,2.35,0.7,0,18.31,1.52,0,0,672.38,4.67,3.39,0,0,12.13,0,24.56,4.07,0,6.64,1.47
108-118,0.89,0.71,4.37,90.54,0,11.31,0,0,0,0,0,0,0,0,12.54,0,0,1.08,794.99,0,0.72,0,0,0.93,0,31.69,0,1.68,0,0
120,0,32.37,2.24,172.28,2.43,29.94,1.73,6.72,1.43,0,0,0,0,0,4.16,0,0,0,1525.46,0,0,0,7.89,0,0,23.48,0,0,2.09,0
