stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.47,0,0.81,0,0,0,0,1.03,0
 24-34,0,0,0,0,0,0,0,0,1.16,0.86,0,1.6,0.69,5.17,0,0,0
 36-46,0,5.56,0,0,1.25,0,0,0,4.79,2.15,0,11.67,0,0,0,0,0
 48-58,0,0.71,0,0,22.35,0,2.39,0,0,0,0,2.2,0,0,0,0,0
 60-70,0,0,0,0,28.66,0,0,0,0,0.81,0,1.09,0,0,0,1.11,0
 72-82,0,0,0,0,34.65,0,0,0,0,0.72,0,8.89,0,0,0,0,0
 84-94,1.04,0,0,0,21.72,0,0,0,0,1.59,0,7.25,0,0,0,0,2.36
 96-106,0,0,5.1,0,19.76,0.94,0,0,0,0,0,11.36,0,0,0,0,0
108-118,0,0,0,0.65,50.53,0,0.74,0.68,0,0.65,0.95,7.5,0,0.59,1.36,0,0
120,0,0,0,0,52.35,6.75,2.68,0,0,0,0,15.05,0,0,0,0,0
