stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,spinal.cord,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,20.14,0,8.96,0,0
 14-21,0,3.11,0,2.02,0,0,0,0,0,0,0,1.23,0,0,0,0
 24-34,1.95,0,0,62.76,0,0,0,2.22,0,0,0.78,12.55,0,0,2.49,0
 36-46,0,0,0,185.41,0,0.61,0,0,0,0,0,46.08,0,0,2.76,0
 48-58,0,0,0,139.77,0,0,0,0,0,4.54,0,37.97,0,0,1.83,0
 60-70,0,0,0,160.45,3.02,0,0,0,0,0,0,13.26,0,0,1.19,0
 72-82,0,0,0,106.7,2.29,0,0,0,0,0,0,14.82,0,0,0,0
 84-94,0.61,0,0,83.09,4.49,0,0,0,0,0,0,11.93,0,0,0,0
 96-106,0,0,1.53,92.73,0,0,0,0,0,0,0,0.92,0,0,0,0
108-118,0,0,0,117.58,2.79,0,0,0,0,2.32,0,7.94,0.89,0,0,0.68
120,0,0,0,96.44,0,0,0,0,2.32,0,0,17.69,0,0,0,0
